id|cim|reszletes_cim|teljes_ar|reszletes_ar|terulet|nm_ar|szobak|epitesi_ev|szint|ingatlan_allapota|futes|erkely|parkolas|hirdeto_tipus|kepek_szama|leiras|link|telekterulet|energetikai|ingatlanos|telefon|allapot|epulet_szintjei|kilatas|parkolohely_ara|komfort|legkondicionalas|akadalymentesites|furdo_wc|tetoter|pince|parkolo|tajolas|kert|napelem|szigeteles|rezsikoltség|luxus_minoseg_pont|kert_kulso_pont|parkolas_garage_pont|terulet_meret_pont|komfort_extra_pont|allapot_felujitas_pont|lokacio_kornyezet_pont|futes_energia_pont|negativ_tenyezok_pont|van_luxus_kifejezés|van_kert_terulet|van_garage_parkolas|van_komfort_extra|van_negativ_elem|ossz_pozitiv_pont|ossz_negativ_pont|netto_szoveg_pont
11|Budaörs, Kismartoni utca 67.||149,90 M Ft||98 m2|1 529 591 Ft / m2||2026||új építésű|hőszivattyú||udvari beálló - kötelező megvenni|ingatlaniroda|10|"K67 Residence

Kamaraerdő panorámás, domboldalán újonnan épülő energiatakarékos 2 ikerházból álló ingatlanfejlesztésen dolgozunk, amely összesen négy eladó lakást foglal magában.
I/2-es lakás: netto 98 nm-es 2 szintes N+ 3 szobás ikerházfél megvásárolható 149.9 M Ft-ért.

Földszinten az előszobából egy vendégmosdó nyílik. Továbbhaladva egy rendkívül tágas 47 nm-es amerikai konyhás nappali biztosítja a teret akár nagyobb családi,baráti összejövetelekre. Különlegessége,hogy 2 irányból is terasz kapcsolatos,így úszik a napfényben. Ráadásul a konyhából és a nappaliból is ki lehet ülni a szabadba. Saját privát kb. 130 nm parkosított kert tartozik az ingatlanhoz.
A lépcső alatt praktikusan egy tároló/háztartási helyiség kialakítható.

Az emeleten 3 db jó méretű hálószoba helyezkedik el,melyből a..."|https://ingatlan.com/34695282|129 m2|A+|||||||||||||||||||3.0|12.5|0.0|16.0|0.0|2.0|4.5|1.2|0.0|1|1|0|0|0|39.2|0.0|39.2
12|Budaörs, Kismartoni utca 67.||149,90 M Ft||129 m2|1 162 015 Ft / m2||2026||új építésű|hőszivattyú||udvari beálló - kötelező megvenni|ingatlaniroda|10|"K67 Residence

Kamaraerdő panorámás, domboldalán újonnan épülő energiatakarékos 2 ikerházból álló ingatlanfejlesztésen dolgozunk, amely összesen négy eladó lakást foglal magában.
II/1-es lakás: netto 98 nm-es 2 szintes N+ 3 szobás ikerházfél megvásárolható 149.9 M Ft-ért.

A lakás elrendezése ideális családok számára. Földszinten az előszobából egy vendégmosdó nyílik. Továbbhaladva egy rendkívül tágas 47 nm-es amerikai konyhás nappali biztosítja a teret akár nagyobb családi, baráti összejövetelekre. Különlegessége, hogy 2 irányból is terasz kapcsolatos, így úszik a napfényben. Ráadásul a konyhából és a nappaliból is ki lehet ülni a szabadba. Saját privát kb. 130 nm parkosított kert tartozik a lakáshoz.
A lépcső alatt praktikusan egy tároló/háztartási helyiség kialakítható.

Az emeleten 3 d..."|https://ingatlan.com/34715896|129 m2|A+|||||||||||||||||||3.0|12.5|0.0|12.0|0.0|2.0|4.5|1.2|0.0|1|1|0|0|0|35.2|0.0|35.2
13|Budaörs, Budaörsi Kamaraerdő||299 M Ft||287 m2|1 041 811 Ft / m2|5 + 1 fél|2020||újszerű|gázkazán, padlófűtés, hűtő-fűtő klíma||önálló garázs|ingatlaniroda|29|"Családi Rezidencia Budaörsön a Természet és a Luxus Harmóniájában!

Budaörs egyik legszebb, hegyvidéki részén kínáljuk megvételre ezt a különleges, háromszintes családi házat. Az erdő közvetlen szomszédságában elhelyezkedő ingatlan ideális választás azok számára, akik csendes, zöld környezetben szeretnének élni, ugyanakkor fontos, hogy a belváros is elérhető távolságra legyen (MOM Park 10 perc autóval).


Elhelyezkedés és Környék:

Az erdő közvetlen közelsége garantálja a tiszta levegőt, és a nyugodt környezetet.
Számos túraútvonal elérhető a kapuból kilépve csupán pár percnyi sétára. Kerékpárral is nagyszerű lehetőségeket kínál az erdő, ráadásul a Balatonra vezető kérékpárút is csupán 500m-re található a háztól. A csendes, biztonságos és természetközeli környezet ideális otthont nyújt aká..."|https://ingatlan.com/34788742|287 m2||||||||||||||||||||6.0|10.0|2.0|2.0|0.0|2.0|15.0|0.0|0.0|1|1|1|0|0|37.0|0.0|37.0
14|Budaörs, Jókai utca||385,50 M Ft||300 m2|1 285 000 Ft / m2||2001 és 2010 között||jó állapotú|||önálló garázs - benne van az árban|maganszemely|22|"Elegáns, modern otthon várja új tulajdonosát.
Bruttó 368 négyzetméteres házunk egy 531 négyzetméteres telken található, mely 2002-ben épült. A ház három szintjén 5 hálószoba és több funkcionális helyiség található, amelyek lehetővé teszik, hogy könnyedén átalakítsd őket a saját igényeid szerint.

A házhoz tartozik egy három állású garázs, amely biztonságban tartja autóidat és kényelmes megoldást kínál a parkolásra.
A beépített medence biztosítja a kellemes kikapcsolódást a forró nyári napokon, miközben a nagy terasz és a kert remek helyszín a családi és baráti összejövetelekhez.

Az ingatlan belső terei modern dizájnnal rendelkeznek, és kényelmes otthoni környezetet biztosítanak. A konyha teljesen felszerelt, és a nappali tágas és világos, ideális hely az egész család számára a közös időtö..."|https://ingatlan.com/33671797|300 m2||||||||||||||||||||6.0|10.0|6.0|16.0|2.5|2.0|1.5|0.0|0.0|1|1|1|1|0|44.0|0.0|44.0
15|Budaörs, Búzavirág utca 8.||209 M Ft||165 m2|1 266 666 Ft / m2||1981 és 2000 között||felújított|gázkazán, vegyes tüzelésű kazán||önálló garázs - benne van az árban|maganszemely|22|"Budaörs Kamaraerdőn csendes forgalommentes zsákutca legvégén eladó egy ikerház fél. Az épület 3 szintes, masszív anyagokból az 1980-as években épült, 2022-re prémium minőségű anyagokkal teljes körűen felújított. Az épület és a kert teljesen elszeparált, ügyvéd előtt aláírt megosztási szerződés van.

Az épület alapja vasbeton, falazata tégla, a tetőfedés zsindely. Elrendezése tágas és fényes.

Az épület középső és legfelső szintjei a lakószint+tetőtér. Az épület teljesen alápincézett, mely félszuterén.

A középső szinten (belső nettó 98 nm + terasz + erkély) található 1 nappali, 3 szoba, konyha étkezővel valamint spájz, külön WC, kád + épített zuhanyzós fürdőszoba.

A teljes értékű tetőtérben (belső nettó 65 nm + 2 db loggia) 2 szoba, közlekedő, épített zuhanyzós fürdő + WC, tároló.

A lega..."|https://ingatlan.com/34345405|745 m2||||||||||||||||||||3.0|7.5|0.0|20.0|0.0|4.0|3.0|0.0|0.0|1|1|0|0|0|37.5|0.0|37.5
16|Budaörs, Vak Bottyán utca 4/A||275 M Ft||119 m2|2 310 924 Ft / m2|4 + 1 fél|2011||újszerű|gázkazán, hőszivattyú||udvari beálló - benne van az árban|maganszemely|12|"Budaörs Vak Bottyán utcában eladó egy mediterrán stílusú ikerházfél.

Budaörs Vak Bottyán utca egyik vége Budapesttel határos, az utca az egyes úttal párhuzamos első utca az autópálya felé. Az elhelyezkedése emiatt kiváló, egyrészt közel van mindenhez (Budaörsön van Tesco, Auchan, CBA, Lidl, Aldi, IKEA, XXXLUTZ, stb, egyszóval minden ami bevásárlás), másrészt Budapest is nagyon könnyen megközelíthető, legközelebbi buszmegálló a Felsőhatár úti, ahova még normál Budapest bérlettel is el lehet utazni, nem szükséges kiegészítő bérlet. Az utca és az egész terület nagyon csendes, átmenő forgalomtól mentes, a Szellő utca kifelé egyirányú, az Alsóhatár utca megkerüli az egész területet, ide csak az jön, aki ezen a területen lakik. A Vak Bottyán utca azon kevés utcák egyike Budaörsön, amik kellően ..."|https://ingatlan.com/34710048|342 m2||||||||||||||||||||0.0|0.0|2.0|4.0|0.0|0.0|7.5|0.0|0.0|0|0|1|0|0|13.5|0.0|13.5
17|Budaörs, Szabadság út 278.||219,00 M Ft||135 m2|1 622 200 Ft / m2||2025|||hőszivattyú||udvari beálló - benne van az árban|maganszemely|21|"Új képek

Eladó Budaörsön új építésű, Luxus családi ikerház 400 nm-es telekkel (társasház). Panoráma a Törökugratóra, hi-tech műszaki tartalom, nappali+3 szoba (120 nm), 2 fürdőszoba, plusz 2 terasz (kertkapcsolatos és függőterasz). Kocsibeálló, elektromos autó töltő, Dél-Nyugati tájolás.

Műszaki jellemzők
- A++ energiaosztály
- Innovatív ProKoncept falazóanyag
- Hatalmas Alumínium nyílászárók - Aluprof (3 rétegű üvegezés, kettős tömítés)
- Hatékony textilredőny - Aluprof (wifi, mobil app, egyben szúnyogháló is)
- Energiatakarékos hőszivattyús fűtés-hűtés (mennyezet hűtés, padlófűtés)
- Hővisszanyerős szellőztető rendszer (szűrt friss levegő)
- Elektromos autó töltési pont (1 db)

Tulajdonostól
Átadás 2025 augusztus"|https://ingatlan.com/34659120|400 m2|A++|||||||||||||||||||3.0|17.5|6.0|8.0|5.0|4.0|1.5|2.4|0.0|1|1|1|1|0|47.4|0.0|47.4
18|Budaörs, Szabadság út 278.||245,00 M Ft||145 m2|1 689 634 Ft / m2||2025|||hőszivattyú||udvari beálló - benne van az árban|maganszemely|22|"Új képek

Eladó Budaörsön új építésű, Luxus családi ikerház 600 n m-es telekkel (társasház). Panoráma a Törökugratóra, hi-tech műszaki tartalom, nappali+3 szoba (120 nm), 3 fürdőszoba, plusz 2 terasz (kertkapcsolatos és tetőterasz). Belső szauna, külső jakuzzi, kocsibeálló, elektromos autó töltő, Dél-Nyugati tájolás.

Műszaki jellemzők
- A++ energiaosztály
- Innovatív ProKoncept falazóanyag
- Hatalmas Alumínium nyílászárók - Aluprof (3 rétegű üvegezés, kettős tömítés)
- Hatékony textilredőny - Aluprof (wifi, mobil app, egyben szúnyogháló is)
- Energiatakarékos hőszivattyús fűtés-hűtés (mennyezet hűtés, padlófűtés)
- Hővisszanyerős szellőztető rendszer (szűrt friss levegő)
- Elektromos autó töltési pont (1 db)

Tulajdonostól
Átadás 2025 augusztus"|https://ingatlan.com/34659069|600 m2|A++|||||||||||||||||||3.0|17.5|6.0|8.0|10.0|4.0|1.5|2.4|0.0|1|1|1|1|0|52.4|0.0|52.4
19|Budaörs, Kígyó utca||330 M Ft||515 m2|640 776 Ft / m2||1981 és 2000 között||felújítandó|gázkazán||önálló garázs - benne van az árban|maganszemely|21|"Befektetők vagy összeköltözők figyelmébe!

Eladó Budaörs Kamaraerdőn, csendes zöldövezeti részen, egy 1996-ban épült mindösszesen 515 m2 hasznos alapterülettel bíró, örökpanorámás, összközműves teljes ház.

A ház Kamaraerdő egyik magaspontján, a Kígyó utcában található, egy magánútra fűzött teleksor – lakópark – legfelső épülete, ami egy zsákutca végén helyezkedik el. Az ingatlan 4 szintes + tetőtérbeépítéssel zárul. Közlekedése ideális, 87-es, 187-es, 287-es, 288-as busz megállója 10-15 perc, a 41-es villamos megállója 20 perc sétára található.

Az épületben három nagyméretű lakás található. A ház földszintjén egy 138 m2-es, nappali + két hálószobás, teraszos (13 m2) lakás található, a hozzá tartozó alagsori szinten lévő úszómedence - fitness helyiséggel, mosókonyhával, iroda helyiséggel,..."|https://ingatlan.com/34643878|515 m2||||||||||||||||||||0.0|12.5|0.0|22.0|2.5|0.0|6.0|0.0|0.0|0|1|0|1|0|43.0|0.0|43.0
20|Budaörs, Vörösbegy utca 7.||299 M Ft||283 m2|1 056 537 Ft / m2||1981 és 2000 között||jó állapotú|gázkazán||önálló garázs - benne van az árban|maganszemely|20|"Eladó tulajdonostól Budaörs Kamaraerdő madárcsicsergős ,kertvárosi részén, szép házak környezetében egy önálló családi ház.
A családi ház szépen gondozott sík telken áll.
A ház háromszintes, amely emelet, földszint, pinceszintből áll.
Emeleti szinten, tetőtéri beépítésű, nappai ,4 hálószoba, fürdőszoba, wc került kialakításra.
Földszinten: nagy terasz, tágas konyha étkezővel, tágas nappali, gardrób, fürdő és wc található.
A pince szinten 2 állásos garázs, háztartási helyiség, konditerem, szauna,solárium tároló helyiségek.
Gyönyörű,ápolt,gondozott diszkert,a kertben 10x5,5-es fűtött medence.
Minőségi anyagok, modern konyha beépitett AEG gépekkel,jól megtervezett belső kialakítás, déli délnyugati tájolású, és méreteiben nagy terek jellemzik.
Műszaki leírások:
- klíma
- riasztó berendezés
- k..."|https://ingatlan.com/32806543|283 m2||||||||||||||||||||3.0|12.5|4.0|30.0|10.0|0.0|4.5|0.0|0.0|1|1|1|1|0|64.0|0.0|64.0
21|Budaörs, Kossuth Lajos utca||174,90 M Ft||135 m2|1 295 555 Ft / m2||2026|||mennyezeti hűtés-fűtés, hőszivattyú||önálló garázs - benne van az árban|maganszemely|15|"*Ingatlan közvetítők kérem ne keressenek!

Kedves Érdeklődő!

Eladásra kínálom hamarosan elkészülő ikerházamat Budaörs szívében, a Kossuth Residence lakóparkban.

Ez az ingatlan több szempontból is különleges: a négy ikerház közül ez az egyetlen, ami saját garázzsal rendelkezik — ami számomra kifejezetten előnyt jelentett a választásnál.
Illetve, az épület hátsó, nem utcafronti elhelyezkedésének köszönhetően egy nyugodt, privát kert is tartozik hozzá.

A ház nettó 120 m² alapterületű, nappali + 3 hálószobás elrendezésű, két külön fürdőszobával és vendég wc-vél rendelkezik, ezen felül tartozik hozzá egy 14 m²-es erkély, egy 16 m²-es terasz, és a már említett 69 m²-es saját kert is.

A ház modern technológiával és minőségi anyagokból épült: Wienerberger Porotherm 30 X-therm téglából, 15 cm v..."|https://ingatlan.com/34836655|698 m2|A+|||||||||||||||||||6.0|12.5|0.0|4.0|0.0|0.0|1.5|0.0|0.0|1|1|0|0|0|24.0|0.0|24.0
22|Budaörs, Fügefa utca||159,90 M Ft||175 m2|913 714 Ft / m2||||felújított|gázkazán, kandalló||udvari beálló|maganszemely|18|"Panorámás családi ház Budaörs egyik legjobb utcájában – felújított műszaki állapot, kényelmes elrendezés, tulajdonostól!

Eladó Budaörs kedvelt, aszfaltozott utcájában egy 175 nm-es családi ház, 715 nm-es belterületi telken, kiváló műszaki állapotban, panorámás kilátással és családbarát kialakítással.

A ház műszakilag felújításon esett át, így stabil, megbízható alapot kínál új tulajdonosa számára. Esztétikai korszerűsítésre még lehetőség van, így az otthon teljesen személyre szabható.

Főbb jellemzők:

5 szoba

Amerikai konyhás, világos nappali

2 fürdőszoba

Külön mosókonyha

Kandalló

Nagyméretű fedett terasz + 2 kisebb terasz

Automata öntözőrendszerrel felszerelt kert

Térkövezett kocsibeálló

Minden közművel rendelkezik

10 méter széles telek

Aszfaltozott, csendes utca

Iskolabusz ..."|https://ingatlan.com/34904329|715 m2||||||||||||||||||||0.0|12.5|4.0|12.0|0.0|8.0|6.0|1.2|0.0|0|1|1|0|0|43.7|0.0|43.7
23|Budaörs, Károly király utca||98 M Ft||84 m2|1 166 666 Ft / m2||1950 előtt||közepes állapotú|gázkazán||udvari beálló - benne van az árban|maganszemely|9|"! Ingatlanosok megkeresését határozottan nem kérem ! Köszönöm.

Magánszemélytől eladó!

Budaörsön, infrastruktúrával kiválóan ellátott elhelyezkedéssel, az M1/M7 bevezetőhöz közel, mégis csendes családi házas részén, aszfaltozott utcában eladó ház, felújítandó ingatlannal, teljes közműbekötéssel. Az ingatlan rendkívül frekventált elhelyezkedésű épület, ritkaság Budaörs ingatlankínálatában.

Telek mérete: 529 nm
Megközelítés: bejegyzett szolgalmi joggal biztosított

Irányár: 98 M Ft

287, 288 és 40E buszok megállója 100 méterre a telek bejáratától, a közelben Tesco, Lidl, Auchan, stb.

A telken található 84 nm lakás, továbbá még egy 18 nm alapterületű tároló és 16 nm tégla építésű garázs, valamint több tégla építésű gazdasági épület.
Amennyiben felkeltette érdeklődését, készséggel várom hív..."|https://ingatlan.com/34892186|529 m2||||||||||||||||||||0.0|5.0|2.0|4.0|0.0|2.0|7.5|0.0|-1.5|0|1|1|0|1|20.5|1.5|19.0
