id|cim|teljes_ar|nm_ar|terulet|telekterulet|szobak|kepek_szama|link
27|Diósd, Diósdliget|198,50 M Ft|1 140 804 Ft / m2|174 m2|455 m2|5|22|https://ingatlan.com/34633753
28|Diósd, Diósdliget|279 M Ft|1 148 148 Ft / m2|243 m2|243 m2|6|18|https://ingatlan.com/33407825
29|Érd, Alsóvölgyi út|149,90 M Ft|1 012 837 Ft / m2|148 m2|557 m2|4 + 1 fél|20|https://ingatlan.com/34915043
30|Diósd, Diósdliget|375 M Ft|1 080 691 Ft / m2|347 m2|347 m2|9|27|https://ingatlan.com/33280901
31|Diósd, Égettvölgy|128,90 M Ft|1 031 200 Ft / m2|125 m2|412 m2|4|29|https://ingatlan.com/34925368
32|Diósd, Árpádház-lakópark|189,90 M Ft|1 257 615 Ft / m2|151 m2|931 m2|5|26|https://ingatlan.com/34730277
33|Diósd, Mókus utca 28.|159,90 M Ft|980 981 Ft / m2|163 m2|360 m2|4|30|https://ingatlan.com/34923093
34|Diósd, Sashegy|99,90 M Ft|693 750 Ft / m2|144 m2|465 m2|4 + 1 fél|15|https://ingatlan.com/34812226
35|Diósd, Sashegy|145 M Ft|1 450 000 Ft / m2|100 m2|365 m2|5|26|https://ingatlan.com/34840956
36|Érd, Érdliget|110 M Ft|774 647 Ft / m2|142 m2|380 m2|4|2|https://ingatlan.com/34867355
37|Érd, Érdliget|139,90 M Ft|891 082 Ft / m2|157 m2|626 m2|5|8|https://ingatlan.com/34563606
38|Diósd, Pacsirta utca|139,90 M Ft|822 941 Ft / m2|170 m2|630 m2|3 + 3 fél|30|https://ingatlan.com/34828188
40|Diósd, Pest megye|118 M Ft|1 000 000 Ft / m2|118 m2|500 m2|4|6|https://ingatlan.com/34180969
41|Diósd, Dózsa György utca|174,99 M Ft|1 399 920 Ft / m2|125 m2|826 m2|4|15|https://ingatlan.com/34913633
42|Érd, Érdliget|320 M Ft|533 333 Ft / m2|600 m2|600 m2|6|19|https://ingatlan.com/34676559
44|Diósd, Pest megye|320 M Ft|896 358 Ft / m2|357 m2|357 m2|7|20|https://ingatlan.com/34875256
45|Diósd, Pest megye|234,90 M Ft|1 145 853 Ft / m2|205 m2|205 m2|5|6|https://ingatlan.com/34829317
46|Érd, Érdliget|139,90 M Ft|721 134 Ft / m2|194 m2|540 m2|7 + 1 fél|17|https://ingatlan.com/34767100
47|Diósd, Vadvirág utca|149 M Ft|413 888 Ft / m2|360 m2|360 m2|8 + 2 fél|29|https://ingatlan.com/34808133
48|Érd, Érdliget|145 M Ft|966 666 Ft / m2|150 m2|538 m2|4|10|https://ingatlan.com/34825735
49|Érd, Érdliget|216 M Ft|696 774 Ft / m2|310 m2|310 m2|7|24|https://ingatlan.com/34712496
50|Érd, Érdliget|224 M Ft|1 302 325 Ft / m2|172 m2|870 m2|5|21|https://ingatlan.com/34288537
51|Érd, Érdliget|139,90 M Ft|945 270 Ft / m2|148 m2|582 m2|5|13|https://ingatlan.com/34679105
52|Diósd, Pest megye|112 M Ft|973 913 Ft / m2|115 m2|765 m2|4 + 1 fél|13|https://ingatlan.com/34906517
53|Diósd, Liszt Ferenc utca|99,90 M Ft|768 461 Ft / m2|130 m2|849 m2|3|30|https://ingatlan.com/34810968
54|Diósd, Naphegy|159,90 M Ft|1 150 359 Ft / m2|139 m2|693 m2|5|18|https://ingatlan.com/34376952
55|Érd, Bor utca|114 M Ft|644 067 Ft / m2|177 m2|557 m2|6|14|https://ingatlan.com/34316583
56|Diósd, Diósdliget|320 M Ft|812 182 Ft / m2|394 m2|394 m2|6|27|https://ingatlan.com/34865208
57|Diósd, Diósdliget|250 M Ft|1 388 888 Ft / m2|180 m2|800 m2|6|29|https://ingatlan.com/34924528
58|Diósd, Sashegy|129 M Ft|1 141 592 Ft / m2|113 m2|740 m2|4|13|https://ingatlan.com/34928767
60|Érd, Érdliget|239 M Ft|987 603 Ft / m2|242 m2|242 m2|4|10|https://ingatlan.com/34728780
61|Diósd, Diósdliget|206,20 M Ft|1 151 955 Ft / m2|179 m2|531 m2|5|24|https://ingatlan.com/33365550
62|Diósd, Pest megye|206,20 M Ft|1 151 955 Ft / m2|179 m2|1063 m2|5|11|https://ingatlan.com/33426938
63|Diósd, Szent Imre herceg utca 1.|269,90 M Ft|1 551 149 Ft / m2|174 m2|868 m2|5|19|https://ingatlan.com/33666761
64|Érd, Érdliget|145 M Ft|979 729 Ft / m2|148 m2|538 m2|4|16|https://ingatlan.com/34827079
65|Diósd, Árpádház-lakópark|184,90 M Ft|1 293 006 Ft / m2|143 m2|721 m2|4|23|https://ingatlan.com/34079052
66|Diósd, Pest megye|279 M Ft|1 395 000 Ft / m2|200 m2|750 m2|6|27|https://ingatlan.com/34860880
67|Diósd, József Attila utca|158 M Ft|1 215 384 Ft / m2|130 m2|1240 m2|3|4|https://ingatlan.com/34671160
68|Diósd, Pest megye|92,40 M Ft|1 155 000 Ft / m2|80 m2|350 m2|3|30|https://ingatlan.com/34769578
69|Diósd, Pest megye|99,90 M Ft|693 750 Ft / m2|144 m2|345 m2|4 + 1 fél|15|https://ingatlan.com/34793488
70|Diósd, Ligetszépe út 23.|155 M Ft|1 240 000 Ft / m2|125 m2|500 m2|5|1|https://ingatlan.com/34924091
71|Diósd, Naphegy|125 M Ft|899 280 Ft / m2|139 m2|693 m2|5|15|https://ingatlan.com/34887876
72|Diósd, Homokbánya utca|150 M Ft|1 200 000 Ft / m2|125 m2|525 m2|4|20|https://ingatlan.com/34868682
73|Diósd, Sashegy|199,80 M Ft|652 941 Ft / m2|306 m2|306 m2|8|6|https://ingatlan.com/34819258
74|Diósd, Diósdliget|213,46 M Ft|1 147 634 Ft / m2|186 m2|300 m2|5|6|https://ingatlan.com/34798970
75|Diósd, Diósdliget|249 M Ft|943 181 Ft / m2|264 m2|264 m2|4|8|https://ingatlan.com/34759684
76|Diósd, Pest megye|399 M Ft|1 050 000 Ft / m2|380 m2|380 m2|5|7|https://ingatlan.com/34727703
77|Diósd, Pest megye|140 M Ft|777 777 Ft / m2|180 m2|558 m2|5|15|https://ingatlan.com/34708248
78|Érd, Budafoki út|101,80 M Ft|1 241 463 Ft / m2|82 m2|949 m2|3|9|https://ingatlan.com/34706701
79|Diósd, Árpádház-lakópark|211,90 M Ft|1 190 449 Ft / m2|178 m2|891 m2|6|15|https://ingatlan.com/34461156
80|Diósd, Pest megye|139 M Ft|885 350 Ft / m2|157 m2|500 m2|5|9|https://ingatlan.com/33642893
81|Diósd, Pest megye|99,90 M Ft|768 461 Ft / m2|130 m2|850 m2|3|27|https://ingatlan.com/34890926
82|Érd, Érdliget|125 M Ft|833 333 Ft / m2|150 m2|663 m2|5 + 1 fél|13|https://ingatlan.com/34576841
83|Érd, Érdliget|85,90 M Ft|499 418 Ft / m2|172 m2|535 m2|5|21|https://ingatlan.com/34625395
84|Érd, Ligetszépe utca 6.|129 M Ft|516 000 Ft / m2|250 m2|250 m2|5 + 1 fél|17|https://ingatlan.com/34917899
86|Diósd, Diósdliget|149 M Ft|413 888 Ft / m2|360 m2|360 m2|10|21|https://ingatlan.com/34797407
87|Diósd, Homokos utca|104,90 M Ft|699 333 Ft / m2|150 m2|1231 m2|3|14|https://ingatlan.com/34585106
88|Diósd, Diósdliget|179 M Ft|1 098 159 Ft / m2|163 m2|617 m2|5|29|https://ingatlan.com/34936000
89|Érd, Érdliget|129,99 M Ft|580 312 Ft / m2|224 m2|224 m2|4 + 2 fél|23|https://ingatlan.com/34850549
90|Diósd, Pest megye|138,90 M Ft|694 500 Ft / m2|200 m2|317 m2|5|15|https://ingatlan.com/34659270
91|Érd, Érdliget|149 M Ft|784 210 Ft / m2|190 m2|1100 m2|5|23|https://ingatlan.com/34324458
92|Diósd, Sashegy|109 M Ft|605 555 Ft / m2|180 m2|1200 m2|6|28|https://ingatlan.com/34552931
93|Diósd, Központ|169,90 M Ft|489 625 Ft / m2|347 m2|347 m2|4|16|https://ingatlan.com/34819041
94|Érd, Érdliget|97,90 M Ft|1 087 777 Ft / m2|90 m2|536 m2|3|27|https://ingatlan.com/34887451
95|Diósd, Diósdliget|259 M Ft|863 333 Ft / m2|300 m2|300 m2|6|27|https://ingatlan.com/34683523
96|Érd, Érdliget|139,90 M Ft|879 874 Ft / m2|159 m2|626 m2|5|19|https://ingatlan.com/32081902
97|Diósd, Központ|99 M Ft|1 020 618 Ft / m2|97 m2|1376 m2|4|14|https://ingatlan.com/34817649
98|Diósd, Rákóczi utca 14.|129,90 M Ft|481 111 Ft / m2|270 m2|270 m2|6 + 2 fél|30|https://ingatlan.com/34723651
99|Érd, Balatoni út|345 M Ft|821 428 Ft / m2|420 m2|420 m2|6|24|https://ingatlan.com/25829948
100|Diósd, Diósdliget|230 M Ft|1 074 766 Ft / m2|214 m2|214 m2|5|27|https://ingatlan.com/33210469
101|Diósd, Pest megye|179 M Ft|1 098 159 Ft / m2|163 m2|617 m2|4 + 1 fél|21|https://ingatlan.com/34935855
102|Diósd, Diósdliget|219,90 M Ft|1 374 375 Ft / m2|160 m2|387 m2|5|21|https://ingatlan.com/34262815
103|Diósd, Rákóczi utca 14.|85,90 M Ft|452 105 Ft / m2|190 m2|500 m2|4 + 2 fél|24|https://ingatlan.com/34729889
104|Diósd, Diósdliget|162 M Ft|501 547 Ft / m2|323 m2|323 m2|4|13|https://ingatlan.com/34761302
105|Diósd, Diósdliget|172,90 M Ft|1 226 241 Ft / m2|141 m2|988 m2|5|14|https://ingatlan.com/34734715
106|Diósd, Naphegy|179 M Ft|761 702 Ft / m2|235 m2|235 m2|8|30|https://ingatlan.com/34754982
107|Érd, Érdliget|159,90 M Ft|1 158 695 Ft / m2|138 m2|560 m2|4|18|https://ingatlan.com/34838602
108|Diósd, Diósdliget|350 M Ft|1 263 537 Ft / m2|277 m2|277 m2|4|28|https://ingatlan.com/34805231
109|Érd, Érdliget|115 M Ft|871 212 Ft / m2|132 m2|696 m2|4|30|https://ingatlan.com/34852971
110|Diósd, Diósdliget|195 M Ft|1 218 750 Ft / m2|160 m2|739 m2|5|21|https://ingatlan.com/34879503
111|Diósd, Határ utca|172,90 M Ft|1 226 241 Ft / m2|141 m2|988 m2|5|16|https://ingatlan.com/34766512
112|Érd, Érdliget|139,90 M Ft|699 500 Ft / m2|200 m2|652 m2|5 + 1 fél|30|https://ingatlan.com/34709892
113|Érd, Érdliget|86 M Ft|955 555 Ft / m2|90 m2|534 m2|2 + 1 fél|26|https://ingatlan.com/34917239
115|Diósd, Diósdliget|229 M Ft|923 387 Ft / m2|248 m2|248 m2|5|13|https://ingatlan.com/33900299
116|Érd, Érdliget|114 M Ft|647 727 Ft / m2|176 m2|557 m2|6|14|https://ingatlan.com/34317856
117|Diósd, Ringtelep|118,80 M Ft|600 000 Ft / m2|198 m2|277 m2|3 + 5 fél|7|https://ingatlan.com/34482444
118|Diósd, Diósdliget|189 M Ft|1 118 343 Ft / m2|169 m2|679 m2|5 + 1 fél|29|https://ingatlan.com/34820549
119|Diósd, Diósdliget|350 M Ft|902 061 Ft / m2|388 m2|388 m2|6|23|https://ingatlan.com/34803355
122|Diósd, Pest megye|350 M Ft|902 061 Ft / m2|388 m2|388 m2|6|22|https://ingatlan.com/34804499
123|Diósd, Pest megye|194,50 M Ft|748 076 Ft / m2|260 m2|260 m2|8|30|https://ingatlan.com/34906285
124|Érd, Érdliget|129,50 M Ft|824 840 Ft / m2|157 m2|660 m2|5|15|https://ingatlan.com/34668306
125|Érd, Buxus utca|129,90 M Ft|579 910 Ft / m2|224 m2|224 m2|4 + 2 fél|27|https://ingatlan.com/34504961
126|Diósd, Felsőgazdagdűlő|429 M Ft|1 401 960 Ft / m2|306 m2|306 m2|5|18|https://ingatlan.com/34286982
127|Diósd, Pest megye|199 M Ft|1 206 060 Ft / m2|165 m2|740 m2|4|30|https://ingatlan.com/33658706
128|Érd, Érdliget|139,90 M Ft|736 315 Ft / m2|190 m2|1250 m2|5|30|https://ingatlan.com/33222328
129|Diósd, Felsőgazdagdűlő|429 M Ft|1 397 394 Ft / m2|307 m2|307 m2|5|30|https://ingatlan.com/34287366
130|Érd, Érdliget|127,90 M Ft|497 665 Ft / m2|257 m2|257 m2|7|27|https://ingatlan.com/33197430
131|Érd, Érdliget|499 M Ft|831 666 Ft / m2|600 m2|600 m2|9|30|https://ingatlan.com/34467983
132|Diósd, Naphegy|94,99 M Ft|633 266 Ft / m2|150 m2|800 m2|4|19|https://ingatlan.com/34563951
134|Diósd, Pest megye|219,90 M Ft|1 235 393 Ft / m2|178 m2|891 m2|4 + 2 fél|16|https://ingatlan.com/33800425
136|Diósd, Ófalu|139 M Ft|1 390 000 Ft / m2|100 m2|450 m2|4|15|https://ingatlan.com/34745123
137|Diósd, Diósdliget|189 M Ft|726 923 Ft / m2|260 m2|260 m2|6|27|https://ingatlan.com/34857364
138|Diósd, Pest megye|179 M Ft|761 702 Ft / m2|235 m2|235 m2|8|29|https://ingatlan.com/34685098
139|Diósd, Pest megye|169,90 M Ft|485 428 Ft / m2|350 m2|350 m2|7|30|https://ingatlan.com/33749185
140|Diósd, Sashegy|104,90 M Ft|699 333 Ft / m2|150 m2|1914 m2|3|30|https://ingatlan.com/34587330
141|Diósd, Pest megye|399 M Ft|1 734 782 Ft / m2|230 m2|230 m2|6 + 2 fél|30|https://ingatlan.com/33838204
142|Érd, Érdliget|117 M Ft|764 705 Ft / m2|153 m2|190 m2|4|26|https://ingatlan.com/34087169
143|Diósd, Duna utca|380 M Ft|791 666 Ft / m2|480 m2|480 m2|10|27|https://ingatlan.com/34649444
144|Diósd, Pest megye|220 M Ft|1 366 459 Ft / m2|161 m2|783 m2|4|17|https://ingatlan.com/34356259
145|Diósd, Pest megye|222 M Ft|1 037 383 Ft / m2|214 m2|214 m2|5|10|https://ingatlan.com/34322767
146|Diósd, Pest megye|155 M Ft|516 666 Ft / m2|300 m2|300 m2|7|30|https://ingatlan.com/33834201
147|Érd, Tárnoki út|355 M Ft|599 662 Ft / m2|592 m2|592 m2|3|0|https://ingatlan.com/33001422
149|Diósd, Naphegy|149 M Ft|677 272 Ft / m2|220 m2|220 m2|4 + 1 fél|2|https://ingatlan.com/22430874
150|Érd, Érdliget|140,50 M Ft|1 211 206 Ft / m2|116 m2|805 m2|3|11|https://ingatlan.com/34801392
151|Diósd, Központ|169,90 M Ft|485 428 Ft / m2|350 m2|350 m2|7 + 2 fél|22|https://ingatlan.com/34250467
153|Érd, Budafoki út|145 M Ft|604 166 Ft / m2|240 m2|240 m2|5|30|https://ingatlan.com/34145570
154|Érd, Tulipán utca 13.|135,80 M Ft|864 968 Ft / m2|157 m2|668 m2|5|0|https://ingatlan.com/34089384
155|Érd, Érdliget|94,90 M Ft|777 868 Ft / m2|122 m2|1122 m2|5|15|https://ingatlan.com/34380178
156|Diósd, Pest megye|99 M Ft|556 179 Ft / m2|178 m2|866 m2|4|13|https://ingatlan.com/34705258
157|Érd, Érdliget|114 M Ft|644 067 Ft / m2|177 m2|557 m2|6|14|https://ingatlan.com/34820813
158|Diósd, Székely András út 19.|220 M Ft|1 506 849 Ft / m2|146 m2|767 m2|3 + 2 fél|0|https://ingatlan.com/34512759
160|Diósd, Székely András út|340 M Ft|1 231 884 Ft / m2|276 m2|276 m2|4|0|https://ingatlan.com/34692269
161|Diósd, Bazsarózsa utca|399 M Ft|997 500 Ft / m2|400 m2|400 m2|5|1|https://ingatlan.com/34242622
162|Diósd, Központ|118,80 M Ft|600 000 Ft / m2|198 m2|277 m2|8|4|https://ingatlan.com/34480356
163|Diósd, Diósdliget|149,99 M Ft|967 677 Ft / m2|155 m2|330 m2|4|21|https://ingatlan.com/34737177
164|Diósd, Endre utca|198 M Ft|1 346 938 Ft / m2|147 m2|618 m2|2 + 2 fél|0|https://ingatlan.com/34709103
165|Diósd, Szabadság utca|265 M Ft|892 255 Ft / m2|297 m2|297 m2|5|0|https://ingatlan.com/34655124
166|Érd, Ondava utca|149,90 M Ft|749 500 Ft / m2|200 m2|546 m2|6|2|https://ingatlan.com/34281657
167|Diósd, Diótörő utca|188 M Ft|1 189 873 Ft / m2|158 m2|1200 m2|4|26|https://ingatlan.com/34863252
168|Diósd, IV. Béla király utca|359 M Ft|1 319 852 Ft / m2|272 m2|272 m2|6|1|https://ingatlan.com/34546944
169|Diósd, Pest megye|88 M Ft|586 666 Ft / m2|150 m2|773 m2|5|30|https://ingatlan.com/34886348
170|Diósd, Pest megye|259 M Ft|863 333 Ft / m2|300 m2|300 m2|6 + 1 fél|21|https://ingatlan.com/34725055
171|Diósd, Központ|94,90 M Ft|1 157 317 Ft / m2|82 m2|450 m2|3|19|https://ingatlan.com/34928893
173|Érd, Érdliget|159,90 M Ft|1 025 000 Ft / m2|156 m2|535 m2|5|29|https://ingatlan.com/34930929
174|Diósd, Diósdliget|149 M Ft|1 064 285 Ft / m2|140 m2|720 m2|4|24|https://ingatlan.com/34918095
176|Diósd, Pest megye|179 M Ft|1 672 897 Ft / m2|107 m2|700 m2|5|16|https://ingatlan.com/34903461
177|Diósd, Markos Ferenc utca|152 M Ft|899 408 Ft / m2|169 m2|500 m2|5|2|https://ingatlan.com/34899832
179|Diósd, Pest megye|219 M Ft|1 095 000 Ft / m2|200 m2|790 m2|5|7|https://ingatlan.com/34870233
180|Diósd, Eötvös utca|94,90 M Ft|1 157 317 Ft / m2|82 m2|450 m2|3|19|https://ingatlan.com/34848592
181|Diósd, Pest megye|179 M Ft|1 278 571 Ft / m2|140 m2|1080 m2|4 + 1 fél|26|https://ingatlan.com/34844150
182|Érd, Érdliget|256 M Ft|853 333 Ft / m2|300 m2|300 m2|9|13|https://ingatlan.com/34841502
183|Diósd, Ringtelep|145 M Ft|1 407 766 Ft / m2|103 m2|300 m2|5|16|https://ingatlan.com/34820385
184|Diósd, Diósdliget|206,25 M Ft|1 120 923 Ft / m2|184 m2|532 m2|5|6|https://ingatlan.com/34798929
187|Érd, Érdliget|125 M Ft|698 324 Ft / m2|179 m2|785 m2|4|28|https://ingatlan.com/34790630
188|Érd, Csermely utca|192,90 M Ft|759 448 Ft / m2|254 m2|254 m2|6|24|https://ingatlan.com/34782921
189|Diósd, Diósdliget|249 M Ft|1 101 769 Ft / m2|226 m2|226 m2|4|20|https://ingatlan.com/34775959
190|Diósd, Diósdliget|185 M Ft|848 623 Ft / m2|218 m2|218 m2|5|21|https://ingatlan.com/34761703
192|Diósd, Markos Ferenc utca|179 M Ft|1 193 333 Ft / m2|150 m2|729 m2|4 + 1 fél|0|https://ingatlan.com/34714343
193|Diósd, Tisza utca|165 M Ft|1 000 000 Ft / m2|165 m2|915 m2|4|0|https://ingatlan.com/34671662
194|Érd, Diósdi út|85 M Ft|1 062 500 Ft / m2|80 m2|200 m2|2 + 2 fél|1|https://ingatlan.com/34627725
195|Diósd, Pest megye|229 M Ft|923 387 Ft / m2|248 m2|248 m2|6|30|https://ingatlan.com/34566429
196|Diósd, Pest megye|94,90 M Ft|1 157 317 Ft / m2|82 m2|450 m2|3|19|https://ingatlan.com/34478329
197|Érd, Érdliget|145 M Ft|687 203 Ft / m2|211 m2|211 m2|6|18|https://ingatlan.com/34470974
199|Érd, Érdliget|145 M Ft|604 166 Ft / m2|240 m2|240 m2|5|26|https://ingatlan.com/34273273
200|Érd, Budafoki út|145 M Ft|687 203 Ft / m2|211 m2|211 m2|6|23|https://ingatlan.com/34238991
