id|cim|reszletes_cim|teljes_ar|reszletes_ar|terulet|nm_ar|szobak|epitesi_ev|szint|ingatlan_allapota|futes|erkely|parkolas|hirdeto_tipus|kepek_szama|leiras|link|telekterulet|energetikai|ingatlanos|telefon|allapot|epulet_szintjei|kilatas|parkolohely_ara|komfort|legkondicionalas|akadalymentesites|furdo_wc|tetoter|pince|parkolo|tajolas|kert|napelem|szigeteles|rezsikoltség|zold_energia_premium_pont|wellness_luxury_pont|smart_technology_pont|premium_design_pont|premium_parking_pont|premium_location_pont|build_quality_pont|negativ_tenyezok_pont|van_zold_energia|van_wellness_luxury|van_smart_tech|van_premium_design|van_premium_parking|van_premium_location|van_build_quality|van_negativ_elem|ossz_pozitiv_pont|ossz_negativ_pont|netto_szoveg_pont|enhanced_keruleti_resz|lokacio_konfidencia|lokacio_elemzesi_modszer|lokacio_forras|lokacio_elemzesek_szama|geo_latitude|geo_longitude|geo_address_from_api|varosresz_kategoria|varosresz_premium_szorzo
11|Budapest XI. kerület, Rákó utca||490 M Ft||300 m2|1 633 333 Ft / m2|7|1981 és 2000 között||jó állapotú|gázkazán||önálló garázs - benne van az árban|maganszemely|23|"TULAJDONOSTÓL ELADÓ a Sas-hegy Természetvédelmi Területnél, csendes, nyugodt, zöldövezeti, D-K-i fekvésű, 300 m2-es, három szintes (+ pince 50 m2) önálló családi ház 80 m2 teraszokkal.

Hatalmas, napfényes nappali és étkező, óriási terasz, külön konyha, egyedi lépcsőház, hat hálószoba, négy fürdőszoba, külön wc, fa beltéri ajtók, háztartási helység, dupla garázs, négy db légkondicionáló, riasztó, intim kert öntözőrendszerrel.

A földszinten két külön lakrészként is használható helységek, idősebb családtagok vagy kamaszok részére. (szoba + fürdőszoba + wc)

A fűtésrendszer öt éve korszerűsítésre került, mely során egy 36 KW-os Hajdu kazán valamint egy 300 literes Hajdu meleg víz tartály lett beépítve.

Az ingatlan környezete:
Sétatávolságra játszótér, futópálya, szabadtéri edzőpark, kilátó...."|https://ingatlan.com/34715459|300 m2||||||||||||||||||||0.0|0.0|0.0|0.0|2.8|3.2|0.0|0.0|0|0|0|0|1|1|0|0|6.0|0.0|6.0|XI. kerület|0.85|enhanced_4step|aggregated_from_2_sources|2|47.4785525|19.0113881|Budapest XI. kerület, Rákó utca|Budapest prémium kerület|1.3
12|Budapest XI. kerület, Kővirág sor||229 M Ft||150 m2|1 526 666 Ft / m2|6|2015||felújított|gázkazán, hűtő-fűtő klíma||udvari beálló|maganszemely|21|"11.kerület, Kelenvölgyben eladó, tehermentes, amerikai konyhás nappalis+ 5 szobás, 2 szintes családi ház.
Az eredeti épület 1987-ben épült, de 2015-ben a főfalak megtartásával építési engedéllyel, teljes átalakításon esett át. A belső lépcső is ki lett cserélve. A jelenlegi gépészet is akkor került kialakításra. A padlófűtés és a radiátorok Ariston cirkóról működnek, a melegvizet a cirkó melegíti fel, de egy Ariston tároló tartályból kerül a vízcsapokba, így nem okoz gondot, ha egyszerre több helyen is megnyitják a melegvíz csapot.
3 fürdőszoba található a házban, 1 kádas és zuhanykabinos a földszinten, és 2 zuhanyzós az emeleten.
A földszinten ezen kívül még található egy vendég mosdó is WC-vel. Minden fürdőszobában van WC is.
A földszinten egy 30 nm-es fedett és egy 12 nm-es fedetlen ter..."|https://ingatlan.com/34706571|628 m2||||||||||||||||||||0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0|0|0|0|0|0|0|0|0.0|0.0|0.0|XI. kerület|0.85|enhanced_4step|aggregated_from_1_sources|1|47.4461354|19.0301055|Budapest XI. kerület, Kővirág sor|Budapest prémium kerület|1.3
13|Budapest XI. kerület, Bánhida utca 5.||179 M Ft||120 m2|1 491 666 Ft / m2|4|2025||felújított|hőszivattyú, mennyezeti hűtés-fűtés, padlófűtés||teremgarázs hely - benne van az árban|maganszemely|20|"Exkluzív ikerházak eladók Budapest XI. kerület, Kelenvölgy szívében – Zöld környezetben, modern kényelemmel
Fedezze fel ezeket a kivételes, energiatakarékos ikerház jellegű családi otthonokat Budapest XI. kerületének egyik legkedveltebb, zöldövezeti részén, Kelenvölgyben. A festői környezetben, családias hangulatban elhelyezkedő ingatlanok a modern élet minden igényét kielégítik, a kényelmet és az energiahatékonyságot ötvözve.

Választható Otthonok:
Jelenleg két lenyűgöző ingatlan várja új tulajdonosát:

1. számú ingatlan
Ez a 96 nm-es, 3 szintes lakóingatlan ideális választás azoknak, akik a funkcionalitást és az eleganciát keresik. Saját, 150 nm-es leszeparált kert tartozik hozzá, mely tökéletes helyszín a kikapcsolódásra és a családi pillanatokra.
Helyiségek elrendezése:
* Kertszint (45..."|https://ingatlan.com/34808568|150 m2||||||||||||||||||||4.5|0.0|0.0|3.8|0.0|3.2|0.0|0.0|1|0|0|1|0|1|0|0|11.5|0.0|11.5|XI. kerület|0.85|enhanced_4step|aggregated_from_1_sources|1|47.4433559|19.0258942|Budapest XI. kerület, Bánhida utca 5.|Budapest jó lokáció|1.1
14|Budapest XI. kerület, Vegyész utca||199 M Ft||127 m2|1 566 929 Ft / m2|4 + 1 fél|1950 előtt||jó állapotú|gázkazán||udvari beálló - benne van az árban|maganszemely|12|"Miért választana egy újépítésű társasházban lakást, ha igazán különleges, egyedi, értékes ingatlant is kaphat?

Budapest 11. kerület nyugodt kertvárosi részén Albertfalván eladó ez a jó állapotú különleges adottságú ritkaság. A sorház 1929-ben épült. A hirdetés tárgya egy kertkapcsolatos 2 lakás ami egyben vásárolható meg. Korábban egybe volt nyitva a földszint és az emelet, az egybenyitásuk nehézség nélkül megoldható.

Hitelből vásárolna? Nagy előny, hogy telekkönyvileg 2 különálló lakásról van szó, így akár 2 családtag is igénybe veheti a kamat támogatott hitelt a vásárláshoz.

A földszinti lakás 2002-ben modernizálásra került, akár azonnal használható, a felső lakás felújítandó.
Épületszerkezet: A tartófalak nagyméretű tömör téglából készültek, vízszigeteléssel. a födémszerkezet fageren..."|https://ingatlan.com/34842838|340 m2|G|||||||||||||||||||0.0|0.0|0.0|0.0|0.0|0.0|2.5|-2.0|0|0|0|0|0|0|1|1|2.5|2.0|0.5|XI. kerület|0.85|enhanced_4step|aggregated_from_2_sources|2|47.4438063|19.0416626|Budapest XI. kerület, Vegyész utca|Budapest jó lokáció|1.1
15|Budapest XI. kerület, Cseresznye utca||270 M Ft||150 m2|1 800 000 Ft / m2|4|||újszerű|gázkazán||udvari beálló|maganszemely|12|"Eladó tulajdonostól a XI. kerületben, Sasadon csendes utcában egy 150 nm-es ikerház fél intim kerttel.
A ház 2016-ban teljes körű felújításon és modernizáláson esett át. A kert burkolattal ellátott, bejárati részén autó beállási lehetőség biztosított. A parkolás egyébként az utcán ingyenes.
Helyiségei / elrendezése:
Földszint: tágas előszoba, vendég WC, külön kézmosóval; nappali és étkező; konyha és ebből nyíló kamra valamint egy mosókonyha.
Emelet: 3 napfényes szoba (18, 17 és 14nm), ebből az egyikhez tartozik egy külön gardrób helyiség; az emeleti előtérben külön kialakított dolgozó rész; tágas kádas és zuhanyzós fürdőszoba; külön WC kézmosóval;
Az emeletről is megközelíthető az elszeparált, fedett terasz mely a kertre néz, valamint az emelet egyik szobája panorámás erkélyes.
Továbbá tar..."|https://ingatlan.com/34808706|400 m2|C|||||||||||||||||||0.0|0.0|0.0|0.0|0.0|3.2|0.0|0.0|0|0|0|0|0|1|0|0|3.2|0.0|3.2|XI. kerület|0.85|enhanced_4step|aggregated_from_2_sources|2|47.479299|18.9986072|Budapest XI. kerület, Cseresznye utca|Budapest jó lokáció|1.1
16|Budapest XI. kerület, Madárhegy||180,95 M Ft||104 m2|1 739 903 Ft / m2|4|2025||új építésű|hőszivattyú||udvari beálló - megvásárolható|ingatlaniroda|3|"WHITE-GREEN MADÁRHEGY / DK 4 sz
CSAK IRODÁNK KÍNÁLATÁBAN!
Madárhegy középső, csendes részén 104 nm-es, N+3 szobás belső kétszintes ikerház saját kerttel, 180,95 M Ft-ért eladó.
A FÖLDSZINTEN az előtérből nyílik a vendég mosdó, a kényelmes felfelé vezető lépcső és a 34 nm-es , NY-i tájolású nappali -étkező. Innen léphetünk kia 20 nm-es teraszra és a 150 nm-es füvesített saját kertbe.
A FELSŐ SZINTEN 3 hálószoba ( 10-11 nm nagyságúak ), a második fürdőszoba és a háztartási helység található. A szobák franciaerkélyesek, így napfényesek, és jól berendezhetőek.
A lakáshoz két felszíni parkoló is tartozik, melynek ára 4M Ft/db.
Teljes vételár: 188,95 M Ft+ közmű csatlakozási díj 850 e Ft+ügyvédi díj: 450 e Ft.
Igen gazdaságos hőszivattyús padlófűtés gondoskodik az alacsony rezsiről. Hűtés: szint..."|https://ingatlan.com/34883664|150 m2||||||||||||||||||||9.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|1|0|0|0|0|0|0|0|9.0|0.0|9.0|XI. kerület|0.85|enhanced_4step|aggregated_from_2_sources|2|47.46811719999999|18.9873738|Budapest XI. kerület, Madárhegy|Budapest prémium kerület|1.3
17|Budapest XI. kerület, Rahó utca 28.||229,80 M Ft||131 m2|1 754 198 Ft / m2|4|2025||új építésű|hőszivattyú, mennyezeti hűtés-fűtés||udvari beálló - benne van az árban|ingatlaniroda|14|"Közvetlenül az építtetőtől! A++ energiatakarékos HÁZ!
Utolsó lehetőség, az épület másik fele ELKELT!

Ikerház lakás árán! Miért költözne soklakásos tömbházba, legyen Önálló Ingatlanja!

Az építkezés folyamatosan zajlik! Tervezett átadás: 2026 Március

Sasad jól elérhető részén közel tömegközlekedéshez, autópályákhoz, bevásárlási lehetőségekhez, de mégis NYUGODT ZÖLD ÖVEZETBEN kínálunk eladásra egy KÉT UTCÁRÓL MEGKÖZELÍTHETŐ EZÁLTAL SAJÁT KÜLÖN BEJÁRATTAL RENDELKEZŐ ikerházi lakást(családi ház paraméterek).

Környék:
Sasad Óvoda, játszóterek
CBA - LIDL boltok
M7-M1 kivezető
Budapest ONE irodaház
Kelenföldi pályaudvar
ETELE Plaza

Telek: 769 m2 telek a Rahó utcára és az Ugron Gábor utcára nyílik. Az ikerházak külön utcáról bejáratosak, teljesen elszeparálva egymástól. Környezete lombos fák, ..."|https://ingatlan.com/34481185|305 m2|A++|||||||||||||||||||0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0|0|0|0|0|0|0|0|0.0|0.0|0.0|XI. kerület|0.85|enhanced_4step|aggregated_from_2_sources|2|47.47160179999999|19.0163835|Budapest XI. kerület, Rahó utca 28.|Budapest jó lokáció|1.1
19|Budapest XI. kerület, Madárhegy||385 M Ft||227 m2|1 696 035 Ft / m2|4 + 1 fél|2019||újszerű|hőszivattyú, padlófűtés, mennyezeti hűtés-fűtés||teremgarázs hely - benne van az árban|ingatlaniroda|30|"Tegyen ajánlatot!

Ezt az ingatlant meg kell nézni! Érdemes!

Tökéletes kivitelezés, buja növényzet, termő gyümölcsök, tücsök ciripelés!

Eladó egy 2019-ben épült, Nappali+4 hálós, minden igényt kielégítő önálló modern családi ház Madárhegyen.

A 227 nm-es ingatlan, egy 660 négyzetméteres kizárólagos tulajdonú telken fekszik, a tulajdonosok maguknak építették.

Az épület nem utcafronti, egy magánútról közelíthetjük meg, így az utcáról egyáltalán nem látható sem a telek, sem pedig az ingatlan.

Az alsó szinten egy kétállásos garázs található, ahonnan az előszobába lépünk, valamint egy hangszigetelt stúdió és a gépészeti helyiség.
Felfelé haladva a földszinten egy nagy méretű amerikai konyhás nappaliba érkezünk, innen  3 rétegű alumínium tolóajtókon keresztül juthatunk ki a teraszra. Ezen a ..."|https://ingatlan.com/34806701|227 m2|A|||||||||||||||||||0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0|0|0|0|0|0|0|0|0.0|0.0|0.0|XI. kerület|0.85|enhanced_4step|aggregated_from_2_sources|2|47.46811719999999|18.9873738|Budapest XI. kerület, Madárhegy|Budapest jó lokáció|1.1
20|Budapest XI. kerület, Pösingermajor||259 M Ft||260 m2|996 153 Ft / m2|6|1981 és 2000 között||felújított|gázkazán, cserépkályha||önálló garázs - benne van az árban|ingatlaniroda|30|"Kivételes lehetőség a XI. kerületben, az Ördögorom lejtőn! Eladó egy csodálatos,1996- ban épült napfényes ikerházfél, amely nem csupán otthon, de valódi menedék a természetben. Itt minden napot lélegzetelállító panorámával indíthatsz, miközben a városközpont közelségét is élvezheted. A ház egy zsákutcában, csendes, nyugodt környezetben található.
Aki szereti a kirándulásokat, a túrákat és a friss levegőt, az itt megtalálja a számítását. A Rupp-hegyi tanösvény mindössze 5 perc sétára található.

Ez az ikerházfél nem csupán a környezetével nyűgöz le, de a modern felszereltségével is:
- Új napelem rendszer 14 elemmel, ami éves szinten 5000 kWh energiát termel.
- Új kondenzációs kazán és szigetelt tető.
- Padlófűtés szintenként és szobánként külön termosztáttal szabályozható, a kiegészítő fűté..."|https://ingatlan.com/34908841|260 m2||||||||||||||||||||4.5|0.0|0.0|0.0|0.0|0.0|0.0|-2.0|1|0|0|0|0|0|0|1|4.5|2.0|2.5|XI. kerület|0.85|enhanced_4step|aggregated_from_1_sources|1|47.4749297|18.9772773|Budapest XI. kerület, Pösingermajor|Budapest jó lokáció|1.1
21|Budapest XI. kerület, Sasad||385 M Ft||200 m2|1 925 000 Ft / m2|5|2015||felújított|gázkazán, padlófűtés, hűtő-fűtő klíma||önálló garázs - benne van az árban|ingatlaniroda|22|"Prémium családi ház intelligens megoldásokkal és saját wellness-terasszal

Csendes, zöld környezetben, mégis kiváló közlekedési lehetőségekkel elérhető részen kínálunk megvételre egy kétszintes, teljeskörűen felújított családi házat, amely modern megoldásaival és minőségi kialakításával kivételes életteret biztosít.

Az ingatlan bruttó alapterülete két szinten összesen nappali + 4 hálószobát foglal magában. A felső szinten került kialakításra a világos, tágas nappali, a nyitott étkező-konyha, két hálószoba, külön fürdőszoba, valamint egy nagy méretű, fedett terasz, amely ideális akár családi, akár reprezentatív célokra.

Az alsó szinten egy dolgozószoba, gépészeti helyiség, tároló, valamint egy külön szülői lakrész található gardróbbal és saját fürdőszobával. A wellness-zóna – szaunával és..."|https://ingatlan.com/34899771|490 m2|A++|||||||||||||||||||0.0|0.0|0.0|3.8|0.0|0.0|0.0|0.0|0|0|0|1|0|0|0|0|3.8|0.0|3.8|XI. kerület|0.85|enhanced_4step|aggregated_from_2_sources|2|47.4735156|19.0077598|Budapest XI. kerület, Sasad|Budapest prémium kerület|1.3
22|Budapest XI. kerület, Cseresznye utca||438,65 M Ft||515 m2|851 741 Ft / m2|12|1981 és 2000 között||jó állapotú|gázkazán, kandalló||önálló garázs - benne van az árban|ingatlaniroda|30|"Eladó egy kivételes adottságú, részben felújítandó panorámás családi ház a XI. kerület csendes, zöldövezeti részén, a Cseresznye utcában!

Ez a különleges, szinteltolásos, 515 négyzetméteres családi ház számos lehetőséget rejt magában – többszintes elrendezésének és több elkülönülő lakóegységének köszönhetően akár többgenerációs együttélésre is ideális, de kiváló alapot nyújt befektetési célra is, például lakások kialakítására vagy vendégháznak.

A ház fő ékessége a délnyugati tájolású, világos nappalikból és teraszokról nyíló mesés panoráma, amely egész nap természetes fénnyel árasztja el a belső tereket. Az ingatlan egyik különlegessége az alagsorban található uszodatér, melyben beltéri medence és szauna is helyet kapott – valódi otthoni wellnessélmény, bármely évszakban. A kényelmet egy..."|https://ingatlan.com/34893743|515 m2||||||||||||||||||||0.0|8.0|0.0|0.0|0.0|6.4|0.0|-2.0|0|1|0|0|0|1|0|1|14.4|2.0|12.4|XI. kerület|0.85|enhanced_4step|aggregated_from_1_sources|1|47.479299|18.9986072|Budapest XI. kerület, Cseresznye utca|Budapest prémium kerület|1.3
23|Budapest XI. kerület, Kelenföld||299 M Ft||300 m2|996 666 Ft / m2|8|1950 előtt||jó állapotú|gázkazán||utca, közterület - fizetős övezet|ingatlaniroda|29|"ELADÓ INGATLAN BUDA KELENFÖLD LEGSZERETETTEBB RÉSZÉN!

KIVÉTELES LEHETŐSÉG várja Önt Kelenföld CSENDES utcájában, ahol most elérhető egy teljeskörűen FELÚJÍTOTT, 3 SZINTES családi ház. A 300 m² hasznos alapterület, amelyben 8 KÜLÖN NYÍLÓ SZOBA található, RUGALMASAN kihasználható – legyen szó nagyobb család lakhatásáról, MAGÁNRENDELŐ, vagy CÉGES IRODA létrehozásáról, esetleg raktárhelyiséggel kiegészítve!

Az ingatlan eredetileg 1937-BEN Szeszlér Géza építész tervei alapján készült – ez garancia a TARTÓS, időtálló szerkezetre. A ház 2005-ben TELJES FELÚJÍTÁSON és átalakításon esett át, így a modern igényeket minden szempontból kiszolgálja.

430 m²-ES, GONDOSAN RENDEZETT TELEK tartozik hozzá, ami a városban ritkaságnak számít. Itt akár pihenni, játszani vagy kertészkedni is lehetőség nyílik...."|https://ingatlan.com/34726097|300 m2||||||||||||||||||||0.0|0.0|0.0|0.0|0.0|0.0|5.0|0.0|0|0|0|0|0|0|1|0|5.0|0.0|5.0|XI. kerület|0.85|enhanced_4step|aggregated_from_2_sources|2|47.463643|19.0335531|Budapest XI. kerület, Kelenföld|Budapest jó lokáció|1.1
24|Budapest XI. kerület, Kelenvölgy||249 M Ft||200 m2|1 245 000 Ft / m2|5|1981 és 2000 között||jó állapotú|gázkazán||teremgarázs hely - benne van az árban|ingatlaniroda|23|"Szeretne egy olyan otthont, ahol családja harmóniában élhet, a természet közelségét élvezve, mégis karnyújtásnyira a város pezsgésétől? Engedje meg, hogy bemutassam Önnek a Budapest XI. kerületében, egy csendes és családbarát utcában található, 200 m²-es, 2 szintes családi házat, amely tökéletes választás lehet új otthonuknak!

A környék adottságai
Az utca a XI. kerület egyik legnyugodtabb, zöldövezeti részén helyezkedik el, ahol a madárcsicsergés és a csend garantálja a nyugodt kikapcsolódást. A családbarát környezet, a közeli parkok és játszóterek ideálisak gyermekes családok számára, miközben a belváros is könnyen elérhető.

A ház tulajdonságai
Ez a hangulatos, folyamatosan korszerűsített családi ház minden igényt kielégít. Az 1990-ben beépített tetőtérrel bővített, klimatizált emeleti ..."|https://ingatlan.com/34909466|500 m2||||||||||||||||||||0.0|0.0|0.0|3.8|0.0|3.2|0.0|0.0|0|0|0|1|0|1|0|0|7.0|0.0|7.0|XI. kerület|0.85|enhanced_4step|aggregated_from_1_sources|1|47.449382|19.0225258|Budapest XI. kerület, Kelenvölgy|Budapest prémium kerület|1.3
25|Budapest XI. kerület, Rahó utca||179 M Ft||141 m2|1 269 503 Ft / m2|6|1950 és 1980 között||felújított|gázkazán||udvari beálló - benne van az árban|ingatlaniroda|28|"Eladó Sasadon, a Rahó utcában egy önálló, jogilag lakóház, de két teljes értékű, elkülönített irodai funkcióra kialakított épület.

A házat 10 éve teljes körűen felújították. Ekkor került kialakításra a félemeleten egy 77 m2-es irodahelyiség, mely áll:
- 3 szobából (11, 17,18 m2)
- 1 teakonyhából
- 1 fürdőszoba, melyben mellékhelyiség is található
- 1 külön álló mellékhelyiségből,
- előszoba, tárgyaló részből
- 25 m2 fedett teraszból
Ez a rész, külön villanyórával, kondenzációs gázkazánnal rendelkezik. Padlófűtés biztosítja a meleget a szint teljes területén, ezen kívül klimatizált, , riasztóval ellátott és elektromos redőnnyel is felszerelt. Az épület hátsó részében egy kis kert van, itt a padlásra is fel lehet jutni, ami esetleg további bővítési lehetőséget rejt magába. A ház hátsó részé..."|https://ingatlan.com/34901240|599 m2||||||||||||||||||||0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0|0|0|0|0|0|0|0|0.0|0.0|0.0|XI. kerület|0.85|enhanced_4step|aggregated_from_2_sources|2|47.4709962|19.0171003|Budapest XI. kerület, Rahó utca|Budapest prémium kerület|1.3
26|Budapest XI. kerület, Sasad||395 M Ft||315 m2|1 253 968 Ft / m2|7|2001 és 2010 között||jó állapotú|gázkazán||önálló garázs - benne van az árban|ingatlaniroda|10|"Családi ház eladó Sasadon, a XI. kerület csendes, napos domboldalán
Az ingatlan 330 m²-es, háromszintes, kiváló műszaki állapotban van, rendszeresen karbantartott. Délnyugati tájolásának köszönhetően világos, napfényes terekkel rendelkezik. Két generáció számára is ideális: a földszinten külön bejáratú, kertkapcsolatos, másfél szobás lakás található, míg a felső két szinten egy nagyobb lakórész helyezkedik el öt szobával, két fürdőszobával, vendég-WC-vel és egy 50 m²-es nappalival.

Az otthon kényelmét egy 35 m²-es erkély és további három terasz (összesen 25 m²) egészíti ki. Fűtése gáz cirkó, az alsó két szinten padlófűtéssel, a felső szinten radiátorokkal és klímával felszerelve. Parkolásra egyállásos garázsban, illetve további egy autó részére felszíni parkolóhelyen van lehetőség.
A körn..."|https://ingatlan.com/34786377|315 m2||||||||||||||||||||0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0|0|0|0|0|0|0|0|0.0|0.0|0.0|XI. kerület|0.85|enhanced_4step|aggregated_from_2_sources|2|47.4735156|19.0077598|Budapest XI. kerület, Sasad|Budapest prémium kerület|1.3
27|Budapest XI. kerület, Gellérthegy||397,97 M Ft||256 m2|1 554 579 Ft / m2|6|1950 előtt||jó állapotú|egyéb kazán|||ingatlaniroda|9|"Patinás villaépület ELADÓ a Gellért-hegy lábánál.

Főbb jellemzők:
- jelenleg 3 lakásra oszlik, külön helyrajzi számmal
- 2009-ben teljes belső felújításon esett át, a közműveket is cserélték (víz, csatorna, villany, gáz); vízszigetelést is kapott (injektálás, árkolás)
- a padlástér beépítésével további 103nm (bruttó 135nm) lakótér nyerhető
- eddig szálláshelyként működött
- hatalmas kert
- kiváló tömegközlekedés

Elhelyezkedés miatt ideális választás lehet cégközpontnak, egészségügyi vagy szabadidős intézménynek is.

További információért, időpontért hívjon bizalommal a megadott időpontokban:
H - P: 09-19
Hétvégén: 10-16

Ez az ingatlan a Hűség csomag megbízási portfólióhoz tartozik. Részletek az Otthon Centrum weboldalán."|https://ingatlan.com/34872697|256 m2||||||||||||||||||||0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0|0|0|0|0|0|0|0|0.0|0.0|0.0|XI. kerület|0.85|enhanced_4step|aggregated_from_1_sources|1|47.4837362|19.037055|Budapest XI. kerület, Gellérthegy|Budapest prémium kerület|1.3
29|Budapest XI. kerület, Madárhegy||299 M Ft||142 m2|2 105 633 Ft / m2|4|2024||újszerű|hőszivattyú, padlófűtés||önálló garázs|ingatlaniroda|28|"MADÁRHEGY DÉLI RÉSZÉN, N+3 SZOBÁS, PANORÁMÁS, LUXUS IKERHÁZ ELADÓ 299 M FT-ÉRT.

A környékről:
A panorámás saroktelken lévő ingatlan csendes, nyugodt környezetben helyezkedik el, minimális forgalmú utca végén. A ház közelében új bölcsöde, óvoda, gyermekorvosi rendelő található sétatávolságra, míg a budaörsi bevásárló központok (Lidl ,Ikea ,Tesco, Auchan, XXXLutz, Aldi) pár perces autóúttal elérhetőek.

Az ingatlanról:
Az épület alaprajza jól átgondolt. Az előtérből az 52 nm-es, majdnem egészében fedett terasszal rendelkező, amerikai konyhás/étkezős nappalba jutunk. Szintén az előtérből nyílik egy praktikus gardrób/mosókonyha helyiség és egy vendég mosdó.

Az ingatlan konyhaszigettel rendelkező konyhája extra minőségű, NOLTE márkájú, eredeti német, ujjlenyomat mentes anyagú konyhabútorral é..."|https://ingatlan.com/34920874|386 m2||||||||||||||||||||0.0|0.0|3.5|3.8|0.0|6.4|0.0|-2.0|0|0|1|1|0|1|0|1|13.7|2.0|11.7|XI. kerület|0.85|enhanced_4step|aggregated_from_1_sources|1|47.46811719999999|18.9873738|Budapest XI. kerület, Madárhegy|Budaörs Kamaraerdő|1.25
30|Budapest XI. kerület, Kelenföld||205 M Ft||116 m2|1 767 241 Ft / m2|4|1981 és 2000 között||jó állapotú|gázkazán||önálló garázs|ingatlaniroda|21|"Budapest XI. kerületben Kelenföldön eladó egy kivételes adottságokkal rendelkező kertes, tégla építésű, szigetelt, garázsos, sorház szélső lakása. Az ingatlan 1987.-ben épült, 116 nm, 2+2 szobás. A gondos tulajdonosi szemléletnek köszönhetően az évek során történtek felújítások . Kazán csere, külső szigetelés és részben műanyag ablakok kerültek beépítésre. A nappaliból a teraszra kijutva pedig a kert nyújt maximális kikapcsolódási lehetőséget. A tulajdonosi viszonyok rendezettek.
Amennyiben az ingatlan felkeltette az érdeklődését, kérem, vegye fel velem a kapcsolatot! Az OTP Bankcsoport teljes körű ügyintézéssel áll az eladók és a vevők rendelkezésére! A kínálatunkból választott ingatlan finanszírozásához kedvezményes hitel- és lízingkonstrukciókat, lakástakarék- pénztári megoldásokat kíná..."|https://ingatlan.com/34717198|1 m2||||||||||||||||||||0.0|0.0|0.0|0.0|0.0|0.0|2.5|0.0|0|0|0|0|0|0|1|0|2.5|0.0|2.5|XI. kerület|0.85|enhanced_4step|aggregated_from_1_sources|1|47.463643|19.0335531|Budapest XI. kerület, Kelenföld|Budapest prémium kerület|1.3
31|Budapest XI. kerület, Péterhegy||270 M Ft||291 m2|927 835 Ft / m2|8|2001 és 2010 között||jó állapotú|gázkazán, padlófűtés||önálló garázs - benne van az árban|ingatlaniroda|30|"CSEND, ELEGANCIA,TÁGAS TEREK-KIVÁLÓ ÁR ÉRTÉK ARÁNY A XI.KERÜLET EGYIK LEGKERESETTEBB ZÖLDÖVEZETI RÉSZÉN PÉTERHEGYEN!

Budapest XI. kerületében, Péterhegyen, csendes utcában, igényes házak szomszédságában, 892 m2-es összközműves telken elhelyezkedő, 3 szintes, jó állapotú, 8 szobás önálló családi ház ELADÓ.

KÖRNYÉK:

Az ingatlan Budapest XI. kerületének délnyugati részén, Péterhegyen található – egy kifejezetten nyugodt, családi házas övezet, amely a természet közelsége és a kiváló közlekedés miatt is rendkívül keresett. Az M1/M7 autópályák, az Egérút és a Budaörsi út gyorsan elérhetők, a tömegközlekedés pedig a közeli buszjáratokkal és a 4-es metróval (Kelenföldi végállomás) biztosított. A környék infrastrukturálisan jól ellátott: iskolák, óvodák, bevásárlóközpontok, vendéglátó egységek, ..."|https://ingatlan.com/34889287|291 m2||||||||||||||||||||0.0|0.0|0.0|0.0|0.0|3.2|0.0|0.0|0|0|0|0|0|1|0|0|3.2|0.0|3.2|XI. kerület|0.85|enhanced_4step|aggregated_from_1_sources|1|47.4488149|19.0110327|Budapest XI. kerület, Péterhegy|Budaörs Kamaraerdő|1.25
33|Budapest XI. kerület, Törökbálinti út||199 M Ft||117 m2|1 700 854 Ft / m2|5|2026||új építésű|fan-coil, padlófűtés, hőszivattyú||udvari beálló - benne van az árban|ingatlaniroda|9|"Budán a XI. kerületben a Spanyolréten, csendes, zöldövezeti részen, Új ÉPÍTÉSŰ, SORHÁZI lakások eladók!

A háromlakásos sorház B 3-as lakása, 117,42 m2 + terasz, belső kétszintes, az alsó szint bruttó 58,04 m2, a felső szint 59,38 m2.

Az alsó szinten a tágas napfényes nappali, konyha étkezővel, dolgozó/hálószoba, fürdőszoba és kamra található.
Nagy terasz, és 147 m2 saját kizárólagos kert tartozik az ingatlanhoz.

Az emeleten 3 szoba, kádas fürdőszoba, háztartási- és gardrób helyiség kerül kialakításra.

A lakás jellemzői:

- Minőségi anyaghasználat, modern színvilág, tágas és világos terek, valamint praktikus elrendezés jellemzi.

- A hatalmas ablakok prémium minőségű, három rétegű hőszigetelt üvegezéssel ellátott műanyag nyílászárók, a lakótér nagyon világos.

- Burkolatok, szaniterek v..."|https://ingatlan.com/34830832|147 m2||||||||||||||||||||0.0|4.0|0.0|3.8|0.0|3.2|0.0|0.0|0|1|0|1|0|1|0|0|11.0|0.0|11.0|XI. kerület|0.85|enhanced_4step|aggregated_from_2_sources|2|47.4763059|18.9870264|Budapest XI. kerület, Törökbálinti út|Törökbálint lakópark|1.1
