id|cim|reszletes_cim|teljes_ar|reszletes_ar|terulet|nm_ar|szobak|epitesi_ev|szint|ingatlan_allapota|futes|erkely|parkolas|hirdeto_tipus|kepek_szama|leiras|link|telekterulet|energetikai|ingatlanos|telefon|allapot|epulet_szintjei|kilatas|parkolohely_ara|komfort|legkondicionalas|akadalymentesites|furdo_wc|tetoter|pince|parkolo|tajolas|kert|napelem|szigeteles|rezsikoltség|zold_energia_premium_pont|wellness_luxury_pont|smart_technology_pont|premium_design_pont|premium_parking_pont|premium_location_pont|build_quality_pont|negativ_tenyezok_pont|van_zold_energia|van_wellness_luxury|van_smart_tech|van_premium_design|van_premium_parking|van_premium_location|van_build_quality|van_negativ_elem|ossz_pozitiv_pont|ossz_negativ_pont|netto_szoveg_pont|varosresz_kategoria|varosresz_premium_szorzo|enhanced_keruleti_resz|lokacio_konfidencia|lokacio_elemzesi_modszer|lokacio_forras|lokacio_elemzesek_szama|geo_latitude|geo_longitude|geo_address_from_api
11|Budapest XII. kerület, Svábhegy||2,59 Mrd Ft||430 m2|6 027 918 Ft / m2||1950 előtt||felújított|gázkazán||önálló garázs - benne van az árban|ingatlaniroda|16|"Eladó hatalmas zöld kerttel rendelkező villaépület Budapest XII. kerületében!
Az ingatlan Budapest legelegánsabb környékén, a Svábhegyen helyezkedik el egy olyan utcában, ahol egyedülálló módon, hozzá hasonló stílusban épült, tökéletes állapotú épületek veszik körül.
Az épület az 1800 - as években épült!
A bejárati szinten helyezkedik el az egyik nappali kandallóval, a fedett terasszal kertkapcsolatos konyha, az ebédlő, valamint a szintén kandallós kristályterem, illetve fürdőszoba, és vendég WC.
A földszinten négy hálószoba, két fürdőszobával, a másik kandallós nappali kertkapcsolatos télikerttel, borospince, valamint háztartási helyiségek találhatóak.
Az emeleti szinten dolgozó- vagy vendégszoba, és nagyméretű tároló került kialakításra.
Az épület szintjeit belső lépcsőház köti össze, de..."|https://ingatlan.com/34639855|430 m2||||||||||||||||||||0.0|4.0|0.0|3.8|0.0|0.0|0.0|0.0|0|1|0|1|0|0|0|0|7.8|0.0|7.8|XII. ker. Budai hegyek - Villa negyed|1.4|Svábhegy|0.44|enhanced_4step|aggregated_from_2_sources|2|||
12|Budapest XII. kerület, Farkasvölgy||890 M Ft||400 m2|2 225 000 Ft / m2||2024||újszerű|gázkazán, elektromos kazán, padlófűtés||teremgarázs hely|ingatlaniroda|29|"Csodálatos, elvehetetlen panorámával rendelkező önálló családi ház eladó a XII. kerületben. A házat 2024-ben teljesen átépítették, felújították. A házra napelem került, a kazán működik árammal és gázzal is. A melegvizet is ez biztosítja.
Az egész kert teraszos kialakítást kapott, ahol szintenként más és más szabadidős tevékenységre alkalmas teret találunk.
Található a házban 4 szint, amiből a legfelső emelet most készül el. Gondos tervezés eredményeképpen egy különálló kis lakrész kerül kialakításra, a ház jelenlegi minőségében megépítve.
A járólapos helységekben padlófűtést találunk, a hálószinten pedig radiátorok adják a meleget. A szobákban klíma található.
A házban található még központi porszívó, szellőzőrendszer.

Az ingatlan 2 utcáról is megközelíthető, mindkét oldalról több gépkocs..."|https://ingatlan.com/34869085|400 m2||||||||||||||||||||4.5|0.0|3.5|0.0|0.0|0.0|0.0|0.0|1|0|1|0|0|0|0|0|8.0|0.0|8.0|XII. ker. Hegyvidék prémium|1.35|Ismeretlen|0.0|fallback|none|0|||
13|Budapest XII. kerület, Dobsinai utca||1,49 Mrd Ft||400 m2|3 725 000 Ft / m2||2001 és 2010 között||felújított|gázkazán|||ingatlaniroda|30|"Modern, skandináv hangulatú otthon az Orbán-hegy tetején diszkrét, kompromisszummentes luxus, zöld környezetben

Budapest egyik legnívósabb lakóövezetében, a XII. kerület csendes, elegáns mellékutcájában, az Orbán-hegy tetején kínálunk megvételre egy különleges családi villát.
Az ingatlan egy 1170 nm-es, gondosan karbantartott telken helyezkedik el, amely teljes intimitást és természetközeli életérzést biztosít miközben a belváros könnyedén elérhető. A villa időtlen eleganciával és visszafogott modernizmussal épült, a tervezést az ország egyik legnívósabb belsőépítész stúdiója, a Finta Belsőépítész Iroda jegyzi.

A külső és belső terek harmóniája, a természetes anyagok fa, beton és travertin használata, valamint a skandináv minimalizmust idéző formavilág kifinomult összhatást eredményez.

..."|https://ingatlan.com/34891357|400 m2||||||||||||||||||||0.0|0.0|0.0|15.2|0.0|0.0|0.0|0.0|0|0|0|1|0|0|0|0|15.2|0.0|15.2|XII. ker. Budai hegyek - Villa negyed|1.4|Orbánhegy|0.76|enhanced_4step|aggregated_from_1_sources|1|||
14|Budapest XII. kerület, Svábhegy||1,40 Mrd Ft||490 m2|2 847 543 Ft / m2||1950 előtt||felújítandó|||udvari beálló|ingatlaniroda|3|"Svábhegyen, XII. Kerületben 2975 nm2-es Parlamentre panorámás telken egy 2 épületből álló mindösszesen kb 490 nm villaépület eladó.
Az ingatlan műemlék. Bővíthető, teljes körű felújítást igényel. Az árról személyes megtekintést követően kíván az eladó egyeztetni.
Az ingatlan közlekedés és lokáció szempontjából jó elhelyezkedésű."|https://ingatlan.com/34218377|490 m2||||||||||||||||||||0.0|0.0|0.0|0.0|0.0|3.2|0.0|0.0|0|0|0|0|0|1|0|0|3.2|0.0|3.2|XII. ker. Budai hegyek - Villa negyed|1.4|Svábhegy|0.46|enhanced_4step|aggregated_from_2_sources|2|||
15|Budapest XII. kerület, Virányos út||2,31 Mrd Ft||360 m2|6 413 550 Ft / m2|5 + 1 fél|1950 előtt||jó állapotú|gázkazán||önálló garázs - benne van az árban|ingatlaniroda|29|"Eladó Budapest XII. kerületében, a Virányos úton egy 2000 nm -es telken elhelyezkedő 360 nm- es, 1910- ben épült villa épület!
Az ingatlan 3 szintes.
A szuterén részben kapott helyet a garázs, mosó szoba, kazánház, valamint külön külső bejárattal megközelíthető lakrész / személyzeti lakás konyhával, fürdőszobával és két szobával, továbbá ezen a szinten található szauna és belső medence - az üveg ablakok nyithatóak - kijárást biztosítva a kertbe.
A földszinten egy gardróbbal és mellékhelyiséggel ellátott előszobába érkezünk, ahonnan a tágas étkezőbe, nagy teraszos nappaliba, konyhába vagy a dolgozó/ hálószobába juthatunk.
Az emeleten hatalmas előtérbe érkezünk, ahol beépített gardrób és teakonyha is helyt kaptak, valamint innen megközelíthető az erkély, a külön álló gardróbszoba, valamint a..."|https://ingatlan.com/34846875|360 m2||||||||||||||||||||0.0|4.0|0.0|3.8|0.0|0.0|0.0|0.0|0|1|0|1|0|0|0|0|7.8|0.0|7.8|XII. ker. Budai hegyek - Villa negyed|1.4|Orbánhegy|0.64|enhanced_4step|aggregated_from_2_sources|2|||
16|Budapest XII. kerület, Orbánhegyi út||753,68 M Ft||520 m2|1 449 375 Ft / m2||1950 előtt||jó állapotú|gázkazán, cserépkályha||önálló garázs - benne van az árban|ingatlaniroda|29|"Páratlan történelmi villa Budapest szívében – Németvölgy és Orbánhegy határán, a Királyhágó térnél

•Ár: 1.890.000 EUR (kb. 756 millió Ft)
•Telek: 932 m²
•Lakótér: 520 m²
•Szobák: 11
•Építés éve: 1914
•Felújítás éve: 2003

A budai hegyek ölelésében, a XII. kerület egyik legpatinásabb, csendes, zöldövezeti részén, Németvölgy és Orbánhegy találkozásánál, a Villa Bagatell épülete mellett kínálunk megvételre egy ritkaságszámba menő, háromszintes villaépületet. Ez a villa nem csupán egy ingatlan – ez egy életérzés, ahol a századfordulós építészet eleganciája találkozik napjaink kényelmével.

Az épületről

A villa 1914-ben épült, stabil, tömör téglafalakkal, kiemelkedő belmagasságokkal és klasszikus arányokkal. A jelenlegi tulajdonosok – a harmadik tulajdonosok a villa történetében – 2003-ban te..."|https://ingatlan.com/34774315|520 m2||||||||||||||||||||0.0|0.0|0.0|0.0|0.0|6.4|0.0|0.0|0|0|0|0|0|1|0|0|6.4|0.0|6.4|XII. ker. Budai hegyek - Villa negyed|1.4|Orbánhegy|0.46|enhanced_4step|aggregated_from_2_sources|2|||
17|Budapest XII. kerület, Városkúti út 25/B||275 M Ft||265 m2|1 037 735 Ft / m2|3 + 1 fél|1950 és 1980 között||jó állapotú|gázkazán||önálló garázs - benne van az árban|maganszemely|16|"INGATLANOS ÉRTÉKESÍTÉST NEM KÍVÁNUNK IGÉNYBE VENNI!
Kútvölgyben, Kis-Sváb- hegy Természetvédelmi terület közvetlen szomszédságában, Svábhegy és Normafa közelében a Fogaskerekű vasút Városkút megállójától 10 percre, a 21-es busz megállójától 5 perc sétára, eladó egy nappali plusz háromszobás tehermentes, rendezett tulajdonlappal rendelkező ikerház fél.
A házrészhez tartozik egy az utcára közvetlenül nyíló, 25nm-es zárt, téglából épített garázs is. A nagyméretű telek összesen 600 nm-es a ház lakóterülete 225 nm+ 40 nm-es terasz.

A ház 3 szintes, nappali és kétszobás és egy félszobás. Mindegyik szobához tartozik erkély, a szobák külön nyílnak a négy égtáj felé tájolva, ezért a természetes fény minden napszakban bejárja az ingatlant. Minden szinten található mellékhelység a földszinten és a f..."|https://ingatlan.com/34235660|265 m2||||||||||||||||||||0.0|0.0|0.0|0.0|0.0|0.0|0.0|-4.0|0|0|0|0|0|0|0|1|0.0|4.0|-4.0|XII. ker. Budai hegyek - Villa negyed|1.4|Svábhegy|0.72|enhanced_4step|aggregated_from_1_sources|1|||
18|Budapest XII. kerület, Csillagvölgyi út||1,55 Mrd Ft||485 m2|3 191 752 Ft / m2||2023||újszerű|hőszivattyú, hűtő-fűtő klíma, cserépkályha||önálló garázs - benne van az árban|maganszemely|21|"Ingatlanosok kérem ne keressenek!

Ősfás környezetben, a tájvédelmi körzet közvetlen szomszédságában, 2022 és 2023-ban épült ikerház mindkét tagja, 1100 m2 saját kertjével, építtető-tulajdonosától eladó. Az épület jelenleg két külön helyrajzi számon szerepel, ikerház elrendezésben épült, könnyen egybenyitható, 1/1-es tulajdonú, per és teher mentes. Az ikerház felek természetesen külön-külön is megvásárolhatóak.

A nappaliból gyönyörű panoráma nyílik a budai hegyekre, a félreeső utca pedig valódi csendet és nyugalmat biztosít az itt élők számára. A lakáshoz tartozik egy két és egy egyállásos garázs és három autó számára kültéri beálló, két nyári konyha, 2 darab napozóterasz, 2 db infra-finn szauna, egy fűthető és egy merülődézsa is. A kert egy több száz növényfajból álló botanikus kert, tel..."|https://ingatlan.com/34524746|485 m2|B|||||||||||||||||||0.0|4.0|0.0|0.0|0.0|3.2|0.0|-2.0|0|1|0|0|0|1|0|1|7.2|2.0|5.2|XII. ker. Budai hegyek - Villa negyed|1.4|Ismeretlen|0.0|fallback|none|0|||
19|Budapest XII. kerület, Agárdi út||980 M Ft||625 m2|1 568 000 Ft / m2||1950 előtt||felújított|gázkazán, hűtő-fűtő klíma||önálló garázs - benne van az árban|maganszemely|19|"Különleges adottságú villaépület eladó az
Orbán-hegyen


Budapest egyik legkeresettebb, zöldövezeti részén, a XII. kerület szívében kínálunk megvételre egy kivételes hangulatú, többfunkciós ingatlant.

Az 1927-ben épült villa az elmúlt közel száz év során folyamatos karbantartáson és értékőrző felújításokon esett át. Jelenlegi kialakításában három teljesen szeparált lakásként funkcionál, így ideális háromgenerációs otthonnak, de adottságainak köszönhetően könnyedén hasznosítható társasházként, reprezentatív céges központként, követségi rezidenciaként, vagy akár exkluzív szolgáltatások helyszíneként is.

A ház hasznos alapterülete 625 m², a hozzá tartozó 707 m²-es telken akár egy vendégház is kialakítható – a közművek rendelkezésre állnak.

A tetőtérből lenyűgöző panoráma nyílik a Budai Vár..."|https://ingatlan.com/34493268|625 m2||||||||||||||||||||0.0|4.0|0.0|3.8|0.0|3.2|0.0|0.0|0|1|0|1|0|1|0|0|11.0|0.0|11.0|XII. ker. Budai hegyek - Villa negyed|1.4|Orbánhegy|0.72|enhanced_4step|aggregated_from_1_sources|1|||
20|Budapest XII. kerület, Rácz Aladár út 102/A||268 M Ft||220 m2|1 218 181 Ft / m2|7 + 1 fél|1950 és 1980 között||jó állapotú|gázkazán||önálló garázs|maganszemely|16|"Eladó a XII. kerületben, csendes utcában, bruttó 220 m2-es panorámás ikerházfél, 2 db, összesen 68 m2 garázzsal.

Ideális annak, aki a városhoz közel, de mégis természetben szeretne lakni.

Az ingatlan ikerház jellegű, teljesen szeparálva a másik egységtől, jogilag rendezett állapotok vannak.
Frissen lett festve, burkolva, felújított konyha, fürdőszobák.
Szintenként egy légkondicionáló van.

Felső szint 60 nm tetőtér beépítés, itt két szoba van, az egyikben szauna, plusz egy fél szoba, fürdőszoba zuhanyzóval WC-vel
Középső szint (ez az utca szintjén van) 60 m2, nappalival, konyhával, fürdőkádas fürdőszobával és WC-vel, 15 nm-es panorámás terasz tartozik hozzá
Az alsó szint 60 nm + 24 m2 terasz, dolgozó és hálószoba, plusz egy szoba, fürdőszoba zuhanyzóval, külön WC

A ház alatt egy 20 m2-e..."|https://ingatlan.com/34106741|220 m2||||||||||||||||||||0.0|4.0|0.0|0.0|0.0|6.4|0.0|0.0|0|1|0|0|0|1|0|0|10.4|0.0|10.4|XII. ker. Budai hegyek - Villa negyed|1.4|Ismeretlen|0.0|fallback|none|0|||
21|Budapest XII. kerület, György Aladár utca||299 M Ft||148 m2|2 020 270 Ft / m2||1950 és 1980 között||jó állapotú|gázkazán||önálló garázs - benne van az árban|maganszemely|16|"Az eladó ingatlan a XII. kerület egyik legfrekventáltabb részén, Virányos-Kútvölgy határán található.

Egy kétépületes, egymástól életvitel szemponjából teljesen szeparált ikerház egyik tagja. Az épületrészhez direktben elérhető, különálló, ősfás, déli fekvésű kert tartozik.

Az elmúlt tíz évben teljeskörű esztétikai és energetikai felújításon (szigetelés, napelemek, új kazán, fa nyílászárók, villany, tömör tölgyfa parketta) és tetőcserén esett át, a rezsiszámlák kimondottan alacsonyak. Esztétikai szempontból modern, napfényes, pozitív hangulatú, kimondottan ízléses jelen állapotában is (az 1976-os építése óta minőségi karbantartás alatt volt). Nagy ablakok, több terasz és üvegtetős kiegészítés teszi hangulatossá.

Aktuális kialakítása két hálószobás egy fürdővel, nagy nappalival és különá..."|https://ingatlan.com/34656767|580 m2||||||||||||||||||||4.5|0.0|0.0|3.8|0.0|0.0|0.0|0.0|1|0|0|1|0|0|0|0|8.3|0.0|8.3|XII. ker. Budai hegyek - Villa negyed|1.4|Orbánhegy|0.68|enhanced_4step|aggregated_from_1_sources|1|||
