id|cim|reszletes_cim|teljes_ar|reszletes_ar|terulet|nm_ar|szobak|epitesi_ev|szint|ingatlan_allapota|futes|erkely|parkolas|hirdeto_tipus|kepek_szama|leiras|link|telekterulet|energetikai|ingatlanos|telefon|allapot|epulet_szintjei|kilatas|parkolohely_ara|komfort|legkondicionalas|akadalymentesites|furdo_wc|tetoter|pince|parkolo|tajolas|kert|napelem|szigeteles|rezsikoltség|zold_energia_premium_pont|wellness_luxury_pont|smart_technology_pont|premium_design_pont|premium_parking_pont|premium_location_pont|build_quality_pont|negativ_tenyezok_pont|van_zold_energia|van_wellness_luxury|van_smart_tech|van_premium_design|van_premium_parking|van_premium_location|van_build_quality|van_negativ_elem|ossz_pozitiv_pont|ossz_negativ_pont|netto_szoveg_pont|varosresz_kategoria|varosresz_premium_szorzo|geo_latitude|geo_longitude|geo_address_from_api
11|Budapest X. kerület, Tóvirág utca||58,90 M Ft||50 m2|1 143 689 Ft / m2||1981 és 2000 között||felújított|távfűtés|3 m2|utca, közterület - ingyenes|ingatlaniroda|13|"Befektetők, első lakásvásárlók, kisgyermekes családok figyelem!
Eladó egy 2025-ben teljeskörűen felújított, 50 m²-es, 5. emeleti erkélyes panel lakás a csendes, zöldövezeti környéken az Újhegyi lakótelepen.

Az ingatlan főbb jellemzői:

Az ingatlan 2025-ben teljeskörű felújításon esett át, viszont két ablak cseréje még hátra van, amit a tulajdonos saját költségén vállal.

-Erkélyes, világos lakás
-Alacsony fűtési költség, kedvező fenntartás a téli hónapokban mindössze 15 ezer ft/hó.
-Ingyenes parkolás a környéken.
-Csendes, zöld környezet, kiváló infrastruktúrával.
-Konyha bútorozatlan, így arról az új tulajdonosnak kell majd gondoskodnia.

Környék :

-Felújított Újhegyi sétány üzletekkel, éttermekkel, kávézókkal mindössze csak pár perc sétára.
-Újhegyi Mélytó és sportliget, mely ideális f..."|https://ingatlan.com/34763657|||||||||||||||||||||0.0|0.0|0.0|0.0|0.0|3.2|0.0|-2.0|0|0|0|0|0|1|0|1|3.2|2.0|1.2|Prémium villa negyed|1.3|||
12|Budapest X. kerület, Dombtető utca||57,90 M Ft||49 m2|1 135 294 Ft / m2||1950 és 1980 között|6|felújított|távfűtés|4 m2|utca, közterület|ingatlaniroda|9|"Eladó a X. kerületben, a Dombtető utcában egy felújított, 49 négyzetméteres, erkélyes panel lakás!

Ez a 6. emeleti ingatlan egy csendes, kulturált környéken található, ideális választás mindazok számára, akik a nyugodt, városi életet keresik. A lakás elosztása 2 szobás, így tökéletes otthont biztosít akár egyedülállóknak, akár kis családoknak.

A felújított lakás modern, fiatalos stílusával és világos tágas tereivel azonnal beleszeret. Az erkélyről csodás kilátás nyílik, ahol élvezheti a reggeli napfényt vagy a nyári estéket.

A lakás tehermentes, így gyorsan birtokba vehető. Az ingatlan közelében minden szükséges szolgáltatás megtalálható: boltok, éttermek, iskolák és jó közlekedési lehetőségek.

Vevőink számára a közvetítés ingyenes!
Meglévő ingatlana eladásában is segítünk, személyre s..."|https://ingatlan.com/34912300|||||||||||||||||||||0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0|0|0|0|0|0|0|0|0.0|0.0|0.0|Központi terület|1.0|||
13|Budapest X. kerület, Gőzmozdony utca||53,90 M Ft||50 m2|1 046 601 Ft / m2||1950 és 1980 között|5|jó állapotú|távfűtés|3 m2|utca, közterület - ingyenes|ingatlaniroda|22|"MEGVÉTELRE kínálok az Újhegyi lakótelepen egy 10 szintes, panelprogramos ház 5. emeletén elhelyezkedő, 50 nm-es, 2 szobás, klímás, erkélyes, átlagos állapotú panel lakást.

A szobákban laminált parketta, a többi helyiségben linóleum található.

Az otthon melegéről távfűtés gondoskodik.

A kisebbik szobából jutunk ki a 3 nm-es erkélyre.

A lakás tájolásának köszönhetően egész nap világos. A két szoba délnyugat irányába, a konyha ablaka keleti irányba néz. A szobák 22 nm és 12 nm alapterületűek, külön és egybe is nyílnak.

Közös költség: 16.000 Ft,

Fűtés átalánydíja: 9.000 Ft

TEHERMENTES, HITELRE IS MEGVÁSÁROLHATÓ!

A parkolás a kerületben ingyenes, a ház előtt megoldható.

Infrastruktúra: A ház előtt található a Penny, pár perc sétára a Family Center, Spar, Lidl , bölcsőde, iskola, óvoda,..."|https://ingatlan.com/34915962|||||||||||||||||||||0.0|4.0|0.0|3.8|0.0|0.0|0.0|-2.0|0|1|0|1|0|0|0|1|7.8|2.0|5.8|Jó lakónegyed|1.15|||
15|Budapest X. kerület, Oltó utca 6.||61,90 M Ft||49 m2|1 225 742 Ft / m2||1950 és 1980 között|3|felújított|távfűtés|3 m2|utca, közterület - ingyenes|ingatlaniroda|13|"Tehermentes, üres, azonnal költözhető, 49 nm-es, 2 szobás, nagyobb fürdőszobás, zuhanyzós, felújított lakás eladó!

X. Újhegyi lakótelepen, Oltó utcában, 10 emeletes panel építésű ház, harmadik emeletén,
49 nm-es, 2 szobás, erkélyes, tehermentes, tulajdonosoktól eladó ingatlan.
A lakás 2021-ben teljes felújításon esett át. A vízcsövek, a radiátorok, a
villanyhálózat és a nyílászárók (redőny, szúnyogháló) cseréje mellett,
padlóburkolatok (előtér, konyha, fürdőszoba, wc - kerámia járólap; nappali, háló -
laminált fa) valamint a konyhában, fürdőben, wc ben a falicsempe is új. Az előtérben
és a konyhában új méretre készített szekrények beépített mosogatógéppel, beépített
sütővel és főzőlappal növelik az ingatlan színvonalát. A fürdőszobát megnagyobbítva (hozzá raktak az előszobából) zuhanykabi..."|https://ingatlan.com/34787544|||||||||||||||||||||0.0|0.0|0.0|7.6|0.0|0.0|5.0|0.0|0|0|0|1|0|0|1|0|12.6|0.0|12.6|Prémium villa negyed|1.3|||
16|Budapest X. kerület, Kőbánya - Újhegyi lakótelep||61 M Ft||50 m2|1 220 000 Ft / m2||1950 és 1980 között|5|felújított|távfűtés||utca, közterület|ingatlaniroda|9|"Tágas, napfényes otthon Újhegy szívében – ahol minden helyiség a kényelmet szolgálja

Van, amikor egy lakás több, mint négy fal – egy tér, ami hívogat, ahol az ember már az ajtóban megérzi: itt lehet élni, lélegezni, megérkezni.

Ez az otthon ilyen. Egy napfényes, meleg hangulatú lakás, ahol a délkeleti fekvés minden reggelt világossá tesz, ahol a jól tagolt terek és a praktikus elrendezés nemcsak kényelmet, de szabadságot is adnak a mindennapokban. Minden helyiség külön nyílik, így a tér áramlik, mégis minden saroknak saját funkciója, saját története lehet.

Ahogy belépsz, egy tágas előtér fogad, ami nemcsak egyszerű közlekedő, hanem az otthon első gesztusa, ami megmutatja: itt figyeltek a részletekre. Minden négyzetmétere átgondolt, minden ablaka egy újabb napfényes ígéret.

A ház rendez..."|https://ingatlan.com/34910264|||||||||||||||||||||0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0|0|0|0|0|0|0|0|0.0|0.0|0.0|Általános terület|1.0|||
17|Budapest X. kerület, Tóvirág utca||58 M Ft||50 m2|1 137 254 Ft / m2||1950 és 1980 között|10|felújított|távfűtés|2 m2||ingatlaniroda|11|"Kőbánya-Újhegyen másfél szobás, legfelső emeleti, erkélyes panel lakás várja új tulajdonosát.


Az épület szigetelt, kívül-belül felújított,a lakás szintén komoly, teljes körű felújításon esett át.


A lakásba zárt, a szomszéddal közösen használt erkélyről léphetünk be. Az L alakú előszobából nyílik az összes helyiség, a teljesen felújított, ablakos konyha, a két szoba, a fürdőszoba és a különálló WC. A kisebbik szoba erkélyes.


A lakásban távfűtés van. A nyári melegben klíma gondoskodik a kellemes hőmérsékletről.

A házban tároló, illetve garázs kérhető, jelenleg nem tartozik a lakáshoz.


A környék zöld, sok a park és itt található a hangulatos kikapcsolódást nyújtó Mély-tó.

Infrastruktúra szempontjából is tökéletes, a buszmegálló (Kőbánya-Kispest és az Örs vezér tere felé) 2 perc séta..."|https://ingatlan.com/34891038|||||||||||||||||||||0.0|0.0|0.0|0.0|0.0|0.0|0.0|-2.0|0|0|0|0|0|0|0|1|0.0|2.0|-2.0|Jó lakónegyed|1.15|||
18|Budapest X. kerület, Mélytó utca||69,50 M Ft||68 m2|992 857 Ft / m2||1950 és 1980 között|4|felújított|távfűtés egyedi méréssel|4 m2||ingatlaniroda|13|"Világos, 3 szobás erkélyes lakás Újhegyen – panelprogramos, azonnal birtokba vehető!

Budapest X. kerületének csendes, barátságos részén, Újhegyen eladó egy 68 m²-es, 3 szobás lakás, 4 m²-es erkéllyel, panelprogramos társasházban. A lakás kiváló állapotú, tágas, világos terekkel és jól kihasználható elrendezéssel.

Főbb jellemzők:

3 külön nyíló, világos szoba, tágas nappalival

4 m²-es erkély a kellemes pihenéshez

Panelprogramos épület – hőszigetelt, korszerű nyílászárókkal

Redőny és szúnyogháló minden ablakon a kényelemért és biztonságért

Távfűtés (egyedi mérés nélkül)

Tehermentes, azonnal költözhető

Elhelyezkedés:

Közelben minden, amire a mindennapokban szükség lehet: boltok, iskola, óvoda, orvosi rendelő

Kiváló közlekedés: buszmegállók és metró a közelben, gyors belvárosi kapcso..."|https://ingatlan.com/34898670|||||||||||||||||||||0.0|0.0|0.0|0.0|0.0|0.0|2.5|0.0|0|0|0|0|0|0|1|0|2.5|0.0|2.5|Központi terület|1.0|||
19|Budapest X. kerület, Újhegy park||61 M Ft||50 m2|1 220 000 Ft / m2||1950 és 1980 között|5|felújított|távfűtés|||ingatlaniroda|8|"Budapest, X. Kerület, Kőbánya, Újhegyi-lakótelepen egy 50 nm-es panellakás Eladó!

Megvételre kínálok a X. Kerület közkedvelt részén egy 50 négyzetméteres 2 szobás, liftes társasházban található, jó állapotú, napfényes, panel programban részt vett lakást. A lakásnak egy tulajdonosa van, teljesen per-tehermentes.

A társasház rendezett, panelprogramban részt vett 10 cm külső szigetelést kapott továbbá teljesen új nyílászárókat és főbejárati ajtó. Kellemes és barátságos lakóközösséggel rendelkezik.

Jelenlegi elrendezése praktikus, minden helyiség külön nyílik, a 2,6 méteres belmagasságának, tágas nappalijának, valamint a kis szobájának köszönhetően plusz teret és kényelmet nyújt.

A fűtés házközponti, jó állapotban lévő radiátorokkal, amelyhez kifejezetten kedvező rezsiköltség társul, téli ..."|https://ingatlan.com/34890400||C|||||||||||||||||||0.0|0.0|0.0|0.0|0.0|0.0|5.0|-4.0|0|0|0|0|0|0|1|1|5.0|4.0|1.0|Központi terület|1.0|||
20|Budapest X. kerület, Tóvirág utca||58,50 M Ft||49 m2|1 158 415 Ft / m2||1950 és 1980 között|5|felújított|távfűtés|3 m2|utca, közterület|ingatlaniroda|8|"Stílusos, felújított otthon a X. kerületben – csak költözz be!

Eladó a Tóvirág utcában egy 49 m²-es, erkélyes, 5. emeleti, 2 szobás panel lakás, ami frissen és teljes körűen fel lett újítva. Ha nem akarsz felújítással bajlódni, ez a lakás neked szól!

A lakás előnyei:
Teljes körű felújítás – nyílászárók, burkolatok, gépészet, minden új
Külön nyíló nappali és hálószoba – ideális elrendezés
Ablakos, világos konyha
Külön fürdőszoba és WC – kényelmes megoldás
A hálóból nyíló 3 m²-es erkély – tökéletes kikapcsolódáshoz
Festeni sem kell, azonnal költözhető állapot

A házról:
10 emeletes, 1970-es években épült, jó állapotú panel
Részt vett a Panelprogramban – korszerűsített szigetelés és nyílászárók
Kulturált, csendes lakóközösség

Műszaki és pénzügyi tudnivalók:
Teljesen tehermentes – hitelre i..."|https://ingatlan.com/34861329||D|||||||||||||||||||0.0|0.0|0.0|0.0|0.0|0.0|2.5|0.0|0|0|0|0|0|0|1|0|2.5|0.0|2.5|Prémium villa negyed|1.3|||
23|Budapest X. kerület, Szövőszék utca 14.||64 M Ft||68 m2|920 863 Ft / m2||1981 és 2000 között|1|jó állapotú|távfűtés|3 m2|utca, közterület - ingyenes|ingatlaniroda|23|"NÉZZEN SZÉT!
Kérem nézze meg a lakásról készül részletes virtuális túrát (!28 pozíció: lakás, kilátás, épület, utca, park)
melyet a kezdőképen lévő ikonra kattintva ér el.


PANELPROGRAMOS HÁZBAN,
3 KÜLÖN BEJÁRATÚ szobás,
NAPOS, CSENDES panel lakás eladó

CSOK PLUSZ-al is megvásárolható ingatlan.

Az 1980-es években épült ház külső homlokzata HŐSZIGETELT, belső terei rendezettek.
LIFTtel jutunk fel az 1. emeleti lakáshoz, melynek a szomszéddal közös, zárható előtere van.

A 68 nm-es, nappali + 2 KÜLÖN BEJÁRATÚVÁ ÁTALAKÍTOTT hálószobás lakásnak
ÉLHETŐ TEREI vannak.

DÉL-NYUGATI TÁJOLÁSú fényes, délelőtt 11-től BENAPOZOTT.

Műszakilag és esztétikailag is felújított:
A teljes elektromos hálózata cserélt réz kábelekkel.
A fürdőszoba és a konyha felújított.
A hideg és a meleg burkolatok cserélt..."|https://ingatlan.com/34742716||E|||||||||||||||||||0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0|0|0|0|0|0|0|0|0.0|0.0|0.0|Prémium villa negyed|1.3|||
26|Budapest X. kerület, Szövőszék utca||64,90 M Ft||68 m2|927 142 Ft / m2|||||távfűtés|4 m2||ingatlaniroda|10|"Cuki hangulatú 3 szobás panel lakás - Szövőszék utca!
Kőbánya felkapott részén, Szövőszék utcában, igazán világos, igényesen karbantartott, 68 m2-es, 3 szobás lakás vált eladóvá.
A lakás igazán világos, körbejárja a nap, és még egy 4 m2-es loggia is tartozik hozzá!

Adottságok:
- 3 szoba
- külön, ablakos konyha
- 1 fürdőszoba
- külön wc
- közlekedő
- loggia

A közös költség 20.000 Ft ami tartalmazza az általános költségeket (biztosítás, takarítás, szemétszállítás, stb.), illetve a laksához tartozik egy zárható tároló.
Sétatávra minden amire csak szükségünk lehet: Újhegyi sétány tele üzletekkel, LIDL, Family center, Újhegyi bevásárlóközpont, KÖKI terminál.

Igazán kellemes lokáció és lakás mindenki számára, aki kényelmesen és kényelemben szeretne élni, megfizethető áron!

Új a piacon, csapj..."|https://ingatlan.com/34887464|||||||||||||||||||||0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0|0|0|0|0|0|0|0|0.0|0.0|0.0|Központi terület|1.0|||
27|Budapest X. kerület, Oltó utca||67,90 M Ft||68 m2|976 978 Ft / m2||1981 és 2000 között|1|felújított|távfűtés|3 m2|utca, közterület - ingyenes|ingatlaniroda|13|"Eladó felújított lakás az Oltó utcában – 68 m², 3 szoba, kiváló elhelyezkedéssel!

Eladásra kínálunk az Oltó utcában egy 68 m²-es, három külön bejáratú szobával rendelkező, világos lakást. A lakásban a közelmúltban teljes felújítás történt:

Új bejárati ajtó

Új burkolatok

Modern radiátorok

Megújult vízvezeték-hálózat és szaniterek

A környék kifejezetten kellemes: egy parkosított, szép tó található a közelben, amely nemcsak kikapcsolódásra, hanem hangulatos büféjével és teraszával is különleges élményt kínál.
A mindennapi bevásárlás is könnyedén megoldható, hiszen Lidl, Interspar, Penny Market, valamint a Köki Terminál is gyorsan elérhető.

További előnyök:


Ajándék, díjmentes hitelügyintézés! Segítünk megtalálni a legkedvezőbb finanszírozási lehetőséget.
Kedvezményes ügyvédi közreműkö..."|https://ingatlan.com/34654196|||||||||||||||||||||0.0|4.0|0.0|0.0|0.0|0.0|5.0|0.0|0|1|0|0|0|0|1|0|9.0|0.0|9.0|Jó lakónegyed|1.15|||
