id|cim|reszletes_cim|teljes_ar|reszletes_ar|terulet|nm_ar|szobak|epitesi_ev|szint|ingatlan_allapota|futes|erkely|parkolas|hirdeto_tipus|kepek_szama|leiras|link|telekterulet|energetikai|ingatlanos|telefon|allapot|epulet_szintjei|kilatas|parkolohely_ara|komfort|legkondicionalas|akadalymentesites|furdo_wc|tetoter|pince|parkolo|tajolas|kert|napelem|szigeteles|rezsikoltség|zold_energia_premium_pont|wellness_luxury_pont|smart_technology_pont|premium_design_pont|premium_parking_pont|premium_location_pont|build_quality_pont|negativ_tenyezok_pont|van_zold_energia|van_wellness_luxury|van_smart_tech|van_premium_design|van_premium_parking|van_premium_location|van_build_quality|van_negativ_elem|ossz_pozitiv_pont|ossz_negativ_pont|netto_szoveg_pont|enhanced_keruleti_resz|lokacio_konfidencia|lokacio_elemzesi_modszer|lokacio_forras|lokacio_elemzesek_szama|geo_latitude|geo_longitude|geo_address_from_api|varosresz_kategoria|varosresz_premium_szorzo
11|Budapest II. kerület, Országút||134,90 M Ft||100 m2|1 349 000 Ft / m2|3|1950 előtt|2|felújított|gázkazán|||ingatlaniroda|25|"ÍZLÉSESEN FELÚJÍTOTT, CSENDES LAKÁS ELADÓ A MAMMUTNÁL

II.kerület Széll Kálmán téren eladó egy szépen karbantartott, polgári ház 2. emeletén lévő, utcai és udvari nézetű, csendes, kifogástalan állapotú ingatlan!
A mérések alapján 100 m2-es ingatlan minden apró részlete igényes, otthonos stílusról árulkodik! A teljeskörűen felújított lakás bármelyik helyiségébe térve kellemes térérzetünk keletkezik, amiket az áthidalók, a széles, vagy duplaszárnyas beltéri ajtók látványa otthonos, barátságos hangulattal tölt el.
Minden szoba, minden kiszolgáló helyiség a tervező ízlését méltatva lep meg minden látogatót újabb és újabb ötletes megoldásokkal, kitűnően megválasztott kiegészítőkkel.
A hatalmas, új nyílászárók már – már túlzóan napfényes szobákkal várnak minket, bárhová is érkezünk. A széles, jó..."|https://ingatlan.com/34922375|||||||||||||||||||||0.0|0.0|0.0|0.0|0.0|0.0|2.5|0.0|0|0|0|0|0|0|1|0|2.5|0.0|2.5|II. kerület|0.85|enhanced_4step|aggregated_from_1_sources|1|47.510162|19.0238539|Budapest II. kerület, Országút|Budapest prémium kerület|1.3
12|Budapest II. kerület, Káplár utca||155 M Ft||76 m2|1 913 580 Ft / m2|3|1981 és 2000 között|2|jó állapotú|házközponti egyedi méréssel|10 m2|teremgarázs hely - megvásárolható|maganszemely|21|"Nappali + 2 hálós, 2. emeleti lakás két terasszal, zárt lakóparkban, közvetlenül a Mammut szomszédságában. Tároló, teremgarázs (külön vásárolható hozzá), liftes ház, zöld belső kert, kiváló közlekedés, kutyabarát környezet. Családoknak, pároknak, idősebbeknek ideális.

– világos nappali + 2 különnyíló hálószoba
- mindkét hálószoba a belső parkra néz és nyugati tájolású
– két külön terasz (egyik keleti a másik nyugati tájolású)
– különálló konyha
– fürdőszoba WC-vel + külön vendég WC kézmosóval
– 4 m²-es alagsori tároló (a lakás vételárában bennefoglaltatik)
– saját teremgarázs-beállóhely (igénytől függően, a lakástól függetlenül megvásárolható de a lakás vételára nem tartalmazza azt)

Az épület liftes, a lakópark zárt, csak a tulajdonosok számára elérhető, parkosított kerttel és pihenőréss..."|https://ingatlan.com/34929622|||||||||||||||||||||0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0|0|0|0|0|0|0|0|0.0|0.0|0.0|II. kerület|0.85|enhanced_4step|aggregated_from_1_sources|1|47.5094711|19.0223957|Budapest II. kerület, Káplár utca|Budapest prémium kerület|1.3
13|Budapest II. kerület, Margit körút 36.||128 M Ft||76 m2|1 684 210 Ft / m2|2 + 1 fél||2|jó állapotú|elektromos fűtőpanel, cserépkályha|||maganszemely|20|"Tulajdonostól eladó napfényes, békés hangulatú, belvárosi, nagypolgári lakás, a Ferences kolostorral és templommal szemben, a Margit körút egyirányú szakaszán.
A ház lakóközössége gondosan ápolja a jövőre 100 éves, Art Deco stílusban épült házat. A homlokzat felújítás 2019-ben történt, 2024-ben a terasz felújítás, a következő a lift felújítása lesz 2026-ban. A lakás 2016-ban lett felújítva. Terek átrendezése történt és teljes elektromos felújítás, új helyre került a konyha. A lakásban található egy karban tartott, működő, eredeti fatüzelésű cserépkályha, plusz skandináv fűtőpanelek minden helyiségben. Az utcában teljes burkolat csere volt 2 éve fásítással parkosítással, azóta, a Margitnegyed programnak is köszönhetően a környék nagyon kellemesen fejlődik, egyre több a kávézó, könyvesbolt, ..."|https://ingatlan.com/34866285|||||||||||||||||||||0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0|0|0|0|0|0|0|0|0.0|0.0|0.0|II. kerület|0.85|enhanced_4step|aggregated_from_2_sources|2|47.5123172|19.0348811|Budapest II. kerület, Margit körút 36.|Budapest prémium kerület|1.3
14|Budapest XII. kerület, Ignotus utca||399 M Ft||181 m2|2 122 340 Ft / m2|5|1950 előtt|2|felújított|gázkazán|14 m2|udvari beálló - kötelező megvenni|ingatlaniroda|23|"Álom lokáció – Ignotus utca

-Parkra néző (Városmajorra PANORÁMÁS)
-181 nm + teraszok
-kétgenerációs (76 nm+105 nm)
-5 szobás, 5 fürdőszobás
-elektromos töltéssel rendelkező PARKOLÓ, mely 15 Millió Ft
-7 lakásos társasház

Dream lokation at Városmajor!
-facing to park
-181 sqm+balcony
-ideal for 2 generations (77 sqm+105 sqm)
-5 room, 5 bathroom
-parking int he garden (electric option)
Call me for further information!"|https://ingatlan.com/34771180|||||||||||||||||||||0.0|0.0|0.0|0.0|0.0|3.2|0.0|0.0|0|0|0|0|0|1|0|0|3.2|0.0|3.2|XII. kerület|0.85|enhanced_4step|aggregated_from_2_sources|2|47.5071152|19.0214063|Budapest XII. kerület, Ignotus utca|XII. ker. Általános|1.0
15|Budapest XII. kerület, Krisztinaváros||110 M Ft||70 m2|1 517 241 Ft / m2|3 + 1 fél|1950 előtt|3|jó állapotú||5 m2||ingatlaniroda|11|"Krisztinavárosban, liftes társasházban, emeleti, panorámás, erkélyes, k-i és ny-i fekvésű, jó állapotú, benapozott lakás.

Az ingatlan az épület III. szintjén található, ahonnan gyönyörű kilátás tárul elénk a park, a Budai Várnegyed és a Gellért-hegy irányába.

A lakás központi részén az étkező helyezkedik el, innen közelíthetjük meg a szobákat és a konyhát is.

Szobái ideális méretűek, naposak, külön nyílnak és jól szeparáltak. Három szoba keleti irányba, egy pedig nyugati irányba tekint. A legnagyobb méretű szoba egy 8 nm-es galériával és teraszkapcsolattal is rendelkezik.

Konyhája ablakos, kényelmes méretű, és teljeskörűen gépesített.

A komfortot a két zuhanyzós fürdőszoba és a külön wc is tovább növeli, illetve minden szoba klímával felszerelt.

Néhány évvel ezelőtt a lakás teljes gé..."|https://ingatlan.com/34859789|||||||||||||||||||||0.0|0.0|0.0|0.0|0.0|3.2|0.0|0.0|0|0|0|0|0|1|0|0|3.2|0.0|3.2|XII. kerület|0.85|enhanced_4step|aggregated_from_3_sources|3|47.4993632|19.027497|Budapest XII. kerület, Krisztinaváros|XII. ker. Krisztinaváros|1.25
16|Budapest XII. kerület, Királyhágó utca||179,90 M Ft||128 m2|1 405 468 Ft / m2|3 + 1 fél|1950 előtt|4|jó állapotú|gázkazán||utca, közterület - fizetős övezet|ingatlaniroda|18|"Ha nagy lakást keres…, megtalálta!
12.kerületben, a Királyhágó utcában, legfelső emeleti, 128 nm-es, nappali + 3 szobás, duplakomfortos lakás liftes házban eladó. Az ingatlan a Böszörményi út szomszédságában, a Déli Pályaudvar és a MOM Park közelében van, kiváló közlekedéssel. A lakás körbejárható, a nappali és a konyha-ebédlő egy légtérben, egybe lett nyitva. A konyha gépesített, funkcionálisan berendezett, az ebédlőnek is van elég helye. Fűtés kondenzációs kazánnal ill. radiátorokkal. Van két nagyobb és egy kisebb hálószoba valamint egy sarokkádas fürdőszoba (WC-vel) és egy zuhanyozós WC-mosdó. Az előtér és a közlekedő tágas, jól bútorozható. A lakás bejárata acél lemezes biztonsági ajtó. Az ingatlanhoz tartozik egy 10 nm-es, kizárólagos használatú tároló a földszinten valamint van a tár..."|https://ingatlan.com/34800678|||||||||||||||||||||0.0|0.0|3.5|0.0|0.0|0.0|0.0|0.0|0|0|1|0|0|0|0|0|3.5|0.0|3.5|XII. kerület|0.85|enhanced_4step|aggregated_from_2_sources|2|47.4954724|19.0222081|Budapest XII. kerület, Királyhágó utca|XII. ker. Belváros|1.0
17|Budapest II. kerület, Margit körút 99.||99,90 M Ft||63 m2|1 573 228 Ft / m2|2 + 2 fél|1950 előtt|2|felújított|gázkazán, padlófűtés|1 m2||ingatlaniroda|22|"Eladóvá vált egy gyönyörűen felújított - átépített, 63 m²-es, amerikai konyhás nappali + 3 hálószobás lakás a Széll Kálmán téren! Az ingatlan napfényes, erkélyes és kitűnő közlekedési adottságai miatt irodai, vagy orvosi rendelő célokra is kitűnően alkalmas!

A lakás belső elrendezése nagyon praktikus: a dekoratív, ragyogó napfényes amerikai konyhás nappali ad helyet a társas életnek, a három külön bejáratú hálószoba (melyből egy utcai-, kettő pedig udvari nézetű) privát elvonulási lehetőséget, vagy akár nyugodt munkaterületet biztosít több fő részére. A fürdőszoba szép nagy méretű és ablakos, valamint gardrob helyiség is van. Bár forgalmas úton helyezkedik el a ház, a lakás mégis rendkívül jól hangszigetelt, csendes és a kilátás a térre - a nemrég felújított, Postapalotaként ismert épület..."|https://ingatlan.com/34582995|||||||||||||||||||||0.0|0.0|0.0|0.0|0.0|0.0|0.0|-2.0|0|0|0|0|0|0|0|1|0.0|2.0|-2.0|II. kerület|0.85|enhanced_4step|aggregated_from_2_sources|2|47.5078115|19.0251228|Budapest II. kerület, Margit körút 99.|Budapest prémium kerület|1.3
18|Budapest II. kerület, Erőd utca 18.||130 M Ft||89 m2|1 436 464 Ft / m2|4|1950 előtt|2|jó állapotú|gázkazán, hűtő-fűtő klíma|3 m2|utca, közterület|maganszemely|21|"Eladó 4 szobás, erkélyes, nagypolgári, világos lakás a Vízivárosban – 89 nm, kiváló elosztás, klímás, 2 szoba is galériázott

Budán, Víziváros szívében eladó tulajdonostól egy jó állapotú, erkélyes, 2. emeleti, tehermentes, 89 nm-es lakás, 4 szobával, klímákkal, 2 szobában galériával.
Csendes, tiszta társasház.

Kiváló elhelyezkedés – Mechwart liget 1 perc, Lidl 2 perc. Séta távolságban játszóterek, jó ovik, iskolák. Margit-sziget 2 megálló, Budai vár 15 perc séta. Színházak, Mammut, Fény utcai piac, jó éttermek karnyújtásnyira.

Főbb jellemzők:
• JÓ ELOSZTÁS: nappali, szülői háló, 2 galériázott háló, konyha, kamra, fürdő (wc külön ajtóval zárható)
• 3,8 nm-es erkély az Erőd utcára.
• A 3,60-as belmagasság jó térélményt nyújt
• Keleti- nyugati fekvés: egész nap világos a lakás.
• Gázfűtés ..."|https://ingatlan.com/34852662||E|||||||||||||||||||0.0|0.0|0.0|0.0|0.0|0.0|0.0|-6.0|0|0|0|0|0|0|0|1|0.0|6.0|-6.0|II. kerület|0.85|enhanced_4step|aggregated_from_2_sources|2|47.5102082|19.0316401|Budapest II. kerület, Erőd utca 18.|Budapest prémium kerület|1.3
19|Budapest II. kerület, Fillér utca||188,80 M Ft||90 m2|2 030 107 Ft / m2|4|1950 előtt|2|felújított|padlófűtés, gázkazán|6 m2|udvari beálló - bérelhető|maganszemely|19|"Eladó villa lakás a II. kerület szívében sétatávolságra a Millenáris parktól és a Városmajortól, szép állapotú ősfákkal körülvett Bauhaus jellegű villaépületben.

A Boghen György mérnök építette társasvilla lakás 2022-ben teljes körű műszaki (víz, villany, gáz) és esztétikai felújításon esett át, magas minőségben:

Műszakilag:
- Bosch kombi cirkó kazán került beépítésre
- padlófűtés nappali, konyha, fürdőben
- 3 fázisú áram
- saját vízóra
- légkondicionálás kiépítésre került minden helyiségben és a nappaliban és a fő hálóban fel is szerelve Gree inverteres klímák
- távirányítós elektromos redőnyök minden ablakon
- Bosch szagelszívó rendszer
- összes nyílászáró cserélve magas minőségű 3 rétegű fa nyílászárókra
- új biztonsági bejárati ajtó

Esztétikailag:
- a hálókat magas minőségű tölgyfa ..."|https://ingatlan.com/34258866|||||||||||||||||||||4.5|0.0|7.0|0.0|0.0|0.0|0.0|0.0|1|0|1|0|0|0|0|0|11.5|0.0|11.5|II. kerület|0.85|enhanced_4step|aggregated_from_2_sources|2|47.5133288|19.0165505|Budapest II. kerület, Fillér utca|Budapest prémium kerület|1.3
20|Budapest XII. kerület, Böszörményi út||94 M Ft||63 m2|1 446 153 Ft / m2|2 + 1 fél||3|jó állapotú|gáz (konvektor)|4 m2|udvari beálló - benne van az árban|maganszemely|16|"Tulajdonostól eladó részben felújított 63nm-es tégla építésű, klímás lakás a Böszörményi úton.
Elosztás: nappali, hálószoba, félszoba, zuhanyzós fürdő, különálló wc, különálló konyha, folyosói kamraszekrény, folyosói beépített szekrény, erkély.
A lakás a lifttel rendelkező 7 emeletes ház 3. emeletén található, a lépcsőháztól ajtóval elválasztott külön belső folyosóról nyílik.
A nyílászárók, burkolatok és a gázhálózat cserélve/korszerűsítve lettek. Az elektromos hálózat még felújításra szorul.
A lakáshoz tartozik pince, ami extra tárolási lehetőséget biztosít.
Parkolás: lakóház sorompóval elzárt belső udvarán.
INGATLANKÖZVETÍTŐK KÉREM NE KERESSENEK!!"|https://ingatlan.com/34848052|||||||||||||||||||||0.0|0.0|0.0|3.8|0.0|0.0|0.0|-2.0|0|0|0|1|0|0|0|1|3.8|2.0|1.8|XII. kerület|0.85|enhanced_4step|aggregated_from_2_sources|2|47.494648|19.018825|Budapest XII. kerület, Böszörményi út|XII. ker. Általános|1.0
