id,cim,reszletes_cim,teljes_ar,reszletes_ar,terulet,nm_ar,szobak,epitesi_ev,szint,ingatlan_allapota,futes,erkely,parkolas,hirdeto_tipus,kepek_szama,leiras,link,telekterulet,energetikai,ingatlanos,telefon,allapot,epulet_szintjei,kilatas,parkolohely_ara,komfort,legkondicionalas,akadalymentesites,furdo_wc,tetoter,pince,parkolo,tajolas,kert,napelem,szigeteles,rezsikoltség
11,"Érd, Alsóvölgyi út",,"139,90 M Ft",,175 m2,799 428 Ft / m2,,2022,,újszerű,padlófűtés,,önálló garázs - benne van az árban,maganszemely,18,"Eladó panorámás, új építésű igényes ikerházfél Érdliget legszebb utcájában – tulajdonostól 15 percre a MOM parktól!

Örök panoráma • Engedélyezett tetőtér-beépítési terv (+ 60 m²) • Dupla garázs • Okosotthon rendszer • 2022-ben épült

Ha Ön a nyugalmat, a magas minőséget és a páratlan kilátást keresi, akkor ez az otthon szerelem lesz első látásra!
Mindössze 50 méterre az erdei túraútvonaltól, így pár perc alatt a természetben lehet.

Érdliget legszebb utcájában, az Alsóvölgyi úton a völgyben kínálunk eladásra egy 2022-ben épült, igényes kivitelezésű, 112 m²-es ikerházfelet 38 m²-es dupla garázzsal és 6 m² tárolóval, többautós feljáróval és Hörmann elektromos személybejárós, ablakos garázskapuval.

Helyiségelosztás:

Alsó szint:
- Dupla garázs (38 m²)
- Tároló (6 m²)

Földszint:
- Amerikai ...",https://ingatlan.com/34922422,634 m2,,,,,,,,,,,,,,,,,,,
12,"Érd, Szép Ilonka utca",,"189,90 M Ft",,164 m2,1 157 926 Ft / m2,,1981 és 2000 között,,felújított,"gázkazán, hűtő-fűtő klíma",,,maganszemely,20,"Tágas családi otthon eladó nagy telekkel és sok lehetőséggel!

Álmai otthonát keresi? Ez a 1089 m²-es telekre épült, impozáns családi ház Érd legszebb és legkeresetteb részén található,minden igényt kielégít – legyen szó többgenerációs együttélésről, tágas terekről vagy a természet közelségéről. Örök panorámás kilátással.

Alapterület és elosztás:

Földszint: 126 m² + 30 m²-es nyitott terasz – tökéletes helyszín reggeli kávézáshoz vagy nyári grillpartikhoz
-3 kényelmes hálószoba
-Tágas nappali extra magas, 3,15 méteres; a földszint többi részén 2,9méteres belmagassággal
-Külön konyha, fürdőszoba és WC

Tetőtér: 88,5 m² alapterületből 39 m² hasznos lakótér
-3 további hálószoba
-Fürdőszoba, így az emeleten is teljes a komfort
Pince: 106 m² – 2,3 m-es belmagassággal, ideális tárolásra, barkác...",https://ingatlan.com/34830633,1089 m2,,,,,,,,,,,,,,,,,,,
13,"Érd, Szamos utca",,85 M Ft,,107 m2,794 392 Ft / m2,2 + 1 fél,1950 és 1980 között,,közepes állapotú,gázkazán,,önálló garázs,maganszemely,15,"Eladó Érd központjában, Érdliget városrészben a Sajó utca – Szamos utca sarkán található családi ház.

Az ingatlan csendes, családias utcában helyezkedik el.

A 70-es években épült ház bruttó alapterülete 135,7 m2 (nettó 107,2m2) garázzsal együtt. A ház alatt pince helyezkedik el. A lakótér elrendezése méretekkel a mellékelt alaprajzon található.

Az 538 m2-es négyzet alakú saroktelek egyik sarkában fedett szerszámos tároló található.

A téglaépítésű, cseréptetős lakóház összkomfortos, műanyag nyílászárókkal rendelkezik, a fűtésről pedig gázkazán gondoskodik. A melegvizet átfolyó rendszerű gázmelegítő biztosítja.

Az ingatlan jó állapotú akár azonnal költözhető és tehermentes.

Ingatlanközvetítők segítségét nem kérjük!",https://ingatlan.com/34818034,538 m2,,,,,,,,,,,,,,,,,,,
14,"Érd, Érdliget",,119 M Ft,,133 m2,894 736 Ft / m2,,2024,,új építésű,gázkazán,,udvari beálló,ingatlaniroda,17,"Érdliget szívében, a csendes és felkapott utcájában kínáljuk eladásra ezt az új építésű, modern lakóingatlant, amely ideális választás családosok számára.
Az ingatlan nettó lakóterülete 133 nm + 29 nm terasz + 18 nm erkély, + 1 fedett kocsibeálló, míg a telek mérete 500 nm, az árban benne van konyhabútor is.
Az öt tágas szobával és két fürdőszobával rendelkező otthon minden igényt kielégít.
Érdliget rendkívül kedvelt környék, ahol a természet közelsége és a városi élet előnyei egyaránt megtalálhatók. A környék csendes, biztonságos, ideális a gyermekek neveléséhez. A közeli játszóterek és zöld területek lehetőséget adnak a szabadban való aktív időtöltésre, míg a közeli iskolák és óvodák könnyen elérhetőek, így a családok számára minden fontos intézmény a közelben található. A közlekedési le...",https://ingatlan.com/34850299,500 m2,,,,,,,,,,,,,,,,,,,
15,"Érd, Érdliget",,110 M Ft,,142 m2,774 647 Ft / m2,,,,jó állapotú,gázkazán,,udvari beálló,ingatlaniroda,2,"Eladó kétgenerációs családi ház Érdliget egyik legjobb részén!

Kiváló adottságokkal rendelkező, kétszintes, 2 generáció számára is ideális családi ház eladó Érdligeten, csendes, zöldövezeti környezetben!

Az ingatlan teljes körű felújításon esett át kb. 10 éve, a fürdőszoba pedig most, 2025-ben lett frissen és igényesen felújítva. A ház kialakítása lehetővé teszi akár két generáció zavartalan együttélését is, de egy család számára is tökéletes választás.

Az ingatlanhoz 2 terasz is tartozik
•egy árnyékos, kb. 15 m²-es terasz, amely ideális pihenésre, kávézgatásra, olvasásra
•valamint egy nagy, 25 m²-es napozóterasz, ahol zavartalanul élvezhető a napsütés

A telek mérete ideális, a ház elrendezése jól átgondolt, a környék pedig nyugodt és biztonságos, mégis minden fontos szolgáltatás könny...",https://ingatlan.com/34867355,380 m2,,,,,,,,,,,,,,,,,,,
16,"Érd, Érdliget",,"139,90 M Ft",,157 m2,891 082 Ft / m2,,2021,,új építésű,"hőszivattyú, padlófűtés",,önálló garázs - benne van az árban,ingatlaniroda,8,"ALACSONY REZSI, PANORÁMA, NAGY NAPPALI, HATALMAS TERASZOK ÉRDLIGETEN!

Érdliget csendes mellékutcájában kínálunk megvételre egy igényes kivitelezésű, ALACSONY REZSIJŰ, PANORÁMÁS, HŐSZIVATTYÚS, DUPLAGARÁZSOS, bruttó 210 nm-es (nettó 157 nm), nappali + 4 szobás, tágas amerikai konyhás, ÚJ ÉPÍTÉSŰ ikerházi lakást, a hozzá tartozó 626 nm-es telekkel.
CSOK +
Évtizedes tapasztalattal és megtekinthető referenciákkal rendelkező, tőkeerős, MEGBÍZHATÓ KIVITELEZŐ!
Várható átadás: 2024. I. negyedév

Műszaki tartalom:
•Az alapban C16-os mixerbeton, a koszorúban és födémben C20-as mixerbeton. Aljzatbeton ESTRICH.
•Falazat: 30-as Porotherm tégla. Kívülről 15 cm-es DRYVIT. Felül 25 cm-es kőzetgyapot szigetelés. A válaszfal 10-es válaszfaltégla. Falak kétszer glettelve, fehér színre festve.
•Tető: 1. osztá...",https://ingatlan.com/34563606,626 m2,,,,,,,,,,,,,,,,,,,
17,"Érd, Érdliget",,83 M Ft,,180 m2,461 111 Ft / m2,4 + 2 fél,1981 és 2000 között,,közepes állapotú,"gázkazán, vegyes tüzelésű kazán",,önálló garázs,ingatlaniroda,27,"Két generációs, örök panorámás családi ház eladó, Érdliget egyik legszebb helyén, 1180 m2 fás telken.

Az ős-fás, teraszosan kialakított ingatlant fenyő- és gyümölcsfa valamint formára vágott sövény borítja. Egy kis veteményesnek is jutott hely.

A családi ház :

Földszint : 90 m2
Itt 1 szoba, ebédlő, konyha, fürdőszoba+WC, 1 félszoba lett kialakítva, valamint egy műhely, ahol egy vegyes tüzelésű és egy gázkazán biztosítja a fűtést. A használati meleg vizet villanybojler adja, itt található még egy fáskamra is.

Első emelet : 90 m2
Két szoba, 1 félszoba, 1 konyha, 1 éléskamra, 1 fürdőszoba, 1 külön WC, 1 tetőtéri feljáró, 1 közlekedő.
A szobák külön bejáratúak.

Közlekedés :
Érd Autóbuszpályaudvartól, 735 Volánbusz 30 perc, 733, 736 Volánbusz 25 perc az ingatlan, személygépkocsival Érd köz...",https://ingatlan.com/34772195,1180 m2,,,,,,,,,,,,,,,,,,,
18,"Érd, Érdliget",,350 M Ft,,600 m2,583 333 Ft / m2,,1981 és 2000 között,,jó állapotú,gázkazán,,önálló garázs,ingatlaniroda,19,"Érdligeten, elegáns és csendes környéken, természetvédelmi terület szomszédságában, 2194 nm-es telken fekvő, 1999-ben épült, parkosított kerttel rendelkező, napos, minden igényt kielégítő, szigetelt villaépület.

Az ingatlant a tágas és légies terek jellemzik. A szinteket egy kényelmes méretű, világos lépcsőház köti össze.

A földszint központi részen egy 80 nm-es, kandallóval rendelkező, teraszkapcsolatos nappali található, melyben egy részben szeparált olvasószekció is kialakításra került. Szomszédságában a tágas, minden igényt kielégítő kert és teraszkapcsolatos, étellifttel szerelt, teljeskörűen gépesített, konyha és az ugyancsak kényelmes méretű étkező kapott helyet.

Ezen szinten egy szeparált lakrész is kialakításra került, 24 nm-es hálószobával és egy 20 nm-es, káddal és zuhanyzóva...",https://ingatlan.com/34676559,600 m2,,,,,,,,,,,,,,,,,,,
19,"Érd, Érdliget",,"93,90 M Ft",,100 m2,939 000 Ft / m2,,1981 és 2000 között,,újszerű,"hűtő-fűtő klíma, elektromos fűtőpanel",,udvari beálló - benne van az árban,ingatlaniroda,25,"ÉRDLIGET LEGJOBB IKERHÁZA VÁRJA TULAJDONOSAIT!!!
AZONNAL KÖLTÖZHETŐ!!!!

Megvételre ajánlok Érd központhoz közel,de csendes utcában egy ikerházat!
Még mind a két fél elérhető.
A netto 100 m2-en három hálószoba,konyha,nappali,fürdő,vendég wc helyezkedik el a következőképpen:
Földszint: tágas nappali,melyből a teraszra juthatunk,ahonnan a kertet csodálhatjuk,konyha,wc.
Emelet: három hálószoba, kádas fürdőszoba,közlekedő,erkély.
Az ingatlan teljesen újszerű.A meleget klímák biztosítják H-tarifás mérővel,valamint három norvég panel segíti a kellemes hőmérséklet elérését.
A 30-as téglafalakon 15 cm-es homlokzati szigetelés van,valamint a födémen 30 cm.Betoncserép a tetőfedés.
A két lakás között az elválasztó falon mindkét oldalról 5 cm gyapot szigetelés van,plusz akusztikus karton,így a szomszé...",https://ingatlan.com/34767074,300 m2,,,,,,,,,,,,,,,,,,,
20,"Érd, Érdliget",,680 M Ft,,690 m2,985 507 Ft / m2,8 + 3 fél,2012,,újszerű,,,,ingatlaniroda,27,"Exkluzív kaliforniai stílusú villa Érdligeten – 840 m²-es luxuséletérzés, 2000 m²-es telken
Eladó egy kivételes, 2012-ben épült, kétszintes luxusvilla Érdliget legszebb részén, több mint 2000 m²-es, parkosított telken. Az ingatlan igazi kuriózum a magyar piacon: kaliforniai stílusú, letisztult és mégis elegáns megoldásaival, pálmafákkal, kültéri fűtött medencével és egy 150 m²-es fedett terasszal.

A VILLA FŐBB JELLEMZŐI:
840 m²-es hasznos alapterület

7 méteres belmagasságú reprezentatív előtér, közvetlen kijárattal a kertbe

Tágas nappali, konyhaszigetes étkező, prémium konyhával

Billiárdszoba, szivarszoba, szauna, gőzkabin, sportszoba

Szülői lakosztály a földszinten, saját gardróbbal és fürdőszobával

Háztartási helyiség + 4 állásos garázs, közvetlen kamraeléréssel

Két emeleti lakosz...",https://ingatlan.com/34820556,690 m2,,,,,,,,,,,,,,,,,,,
21,"Érd, Érdliget",,"139,90 M Ft",,194 m2,721 134 Ft / m2,7 + 1 fél,2025,,új építésű,"hőszivattyú, padlófűtés",,önálló garázs - benne van az árban,ingatlaniroda,17,"Érdligeten, egy csendes, aszfaltozott, férfi neves utcában eladó egy 540 m²-es saroktelken épülő, két szintes, nettó 194,1 m²-es önálló családi ház. Az ingatlan 2 nappali + 3 szoba + 3 félszoba + 2 fürdőszoba elosztású, hőszivattyús fűtéssel, garázzsal és három terasszal. A tágas elrendezésnek köszönhetően akár több generációs otthonnak is kiváló választás.

Az épület modern technológiai megoldásokkal és prémium minőségű anyagokkal készül, betartva a száradási időket.
A ház vasalt, szigetelt beton sávalapra épül, 30-as Porotherm téglából, 10-es vakolt válaszfalakkal és beton födémmel.
A homlokzatra 15 cm dryvit szigetelés kerül, a lábazatra 10 cm XPS, az aljzatra 10 cm lépésálló, míg a fa szerkezetű zárófödémre 25 cm kőzetgyapot szigetelés kerül.
A tető sötétszürke Terran cserépfedést kap,...",https://ingatlan.com/34767100,540 m2,,,,,,,,,,,,,,,,,,,
22,"Érd, Érdliget",,"74,99 M Ft",,68 m2,1 102 794 Ft / m2,,1950 és 1980 között,,jó állapotú,gáz (konvektor),,önálló garázs - benne van az árban,ingatlaniroda,27,"ÉRD...”Érdliget” CSENDES, KÖNNYEN MEGKÖZELÍTHETŐ, FREKVENTÁLT LOKÁCIÓJÁBAN,kiváló adottságú telken, CSALÁDI HÁZ, akár BEFEKTETÉSRE!

Pest megye méltán népszerű és felkapott lokációjában ÉRDLIGETEN,eladó egy
68 nm-es CSALÁDI HÁZ...(N+1 szoba),1135 nm-es telken,melléképületekkel
74.990.000 M Ft-ért.

Az ingatlanban több potencia rejlik,a telek mérete kapcsán, mivel ár-érték arányban egyedülálló, mivel az Érdliget(i) lokációban telek hiány van,így mérete és fekvése és elhelyezkedése kapcsán
KIVÁLÓ LEHETŐSÉG lehet.

MEGÁLMODHATJA ÚJ OTTHONÁT,vagy befektetésként is remek lehetőség lehet, a telek 25%-os beépíthetősége kapcsán,így akár egy ikerház is felépíthető rá, vagy az eredeti ingatlan tetőtér beépítéssel is akár tovább bővíthető, „beépíthetősége végett”, így akár többgenerációs házként is f...",https://ingatlan.com/34900503,1135 m2,,,,,,,,,,,,,,,,,,,
23,"Érd, Érdliget",,145 M Ft,,150 m2,966 666 Ft / m2,,2025,,új építésű,"hőszivattyú, padlófűtés",,önálló garázs - benne van az árban,ingatlaniroda,10,"***Érdliget, panorámás!***
Kiváló lokáció, magas szintű kivitelezés!
Érdligeten, csendes, aszfaltozott utcában, igényes házak környezetében eladó egy újépítésű, 150m2-es, nappali + 3 hálószobás, garázsos, fedett teraszos, önálló családi ház.
A projekt nyár végén indul, várható átadás 2025. év vége. A házhoz tartozó telek területe 538m2, önálló helyrajzi számon.
A családi ház falazata 30-as Porotherm tégla lesz, 15 cm-es EPS szigeteléssel, a műanyag nyílászárók 3 rétegű, 6 légkamrás üvegezéssel lesznek ellátva. Modern, hőszivattyús fűtésrendszer, padlófűtéssel, a tetőn cserépfedés kerül megvalósításra. H tarifa előkészítéssel, 3,5 KW klímával kerül a ház átadásra. Egyéb extraként a bádog nemcsak a hagyományos horgonyzott színben, hanem a cseréppel azonos színben is kérhető.
A belső burkolat...",https://ingatlan.com/34825735,538 m2,A,,,,,,,,,,,,,,,,,,
24,"Érd, Érdliget",,224 M Ft,,172 m2,1 302 325 Ft / m2,,2024,,új építésű,"hőszivattyú, mennyezeti hűtés-fűtés, padlófűtés",,önálló garázs - benne van az árban,ingatlaniroda,21,"Érdliget legszebb részén, a Törökbálinti erdő mellett, aszfaltozott utcában eladó 870 m2-es telken egy ÚJ ÉPÍTÉSŰ, két szintes, nettó 172 m2-es, 4 szoba + nappali-amerikai konyha + 2 fürdős, Prémium minőségű, lapos tetős, igazán hangulatos családi ház, hőszivattyús mennyezet hűtés-fűtés, padlófűtéssel, dupla garázzsal, nagy teraszokkal, sok extrával.

A megbízható kivitelező cég 2003 óta több száz ingatlant épített már fel, saját tőkéből építik az ingatlanokat és rugalmasan állnak a vevők egyedi kéréseihez!
A kivitelező prémium minőségű anyagok felhasználásával, bevált szakemberek közreműködésével építi az ingatlanokat.

A ház a mai technológia elvárásoknak megfelelően, kiváló minőségű anyagokból épült, betartva a száradási időket.
Az épület szigetelt, vasbeton sávalapra épült, 30-as Porot...",https://ingatlan.com/34288537,870 m2,A+,,,,,,,,,,,,,,,,,,
