id|cim|reszletes_cim|teljes_ar|reszletes_ar|terulet|nm_ar|szobak|epitesi_ev|szint|ingatlan_allapota|futes|erkely|parkolas|hirdeto_tipus|kepek_szama|leiras|link|telekterulet|energetikai|ingatlanos|telefon|allapot|epulet_szintjei|kilatas|parkolohely_ara|komfort|legkondicionalas|akadalymentesites|furdo_wc|tetoter|pince|parkolo|tajolas|kert|napelem|szigeteles|rezsikoltség|zold_energia_premium_pont|wellness_luxury_pont|smart_technology_pont|premium_design_pont|premium_parking_pont|premium_location_pont|build_quality_pont|negativ_tenyezok_pont|van_zold_energia|van_wellness_luxury|van_smart_tech|van_premium_design|van_premium_parking|van_premium_location|van_build_quality|van_negativ_elem|ossz_pozitiv_pont|ossz_negativ_pont|netto_szoveg_pont|varosresz_kategoria|varosresz_premium_szorzo
11|Törökbálint, Tükörhegy||389 M Ft||230 m2|1 691 304 Ft / m2||||||||ingatlaniroda|12|"TÖRÖKBÁLINT, TÜKÖRHEGY, ÖNÁLLÓ CSALÁDI HÁZ!
Modern, minimál stílus!
Okos otthon!
Minőségi építőanyagok!
Lenyűgöző panoráma!
Tágas, jól megtervezett belső terek!

Eladó egy páratlanul egyedi, 230 m²-es, napfényes minimál stílusú lakóház Törökbálint Tükörhegy legvágyottabb utcájában, csodálatos panorámával. Saroktelek kivételes adottságainak köszönhetően csak egy szomszéddal ""büszkélkedhet"", így a magánélet és a nyugalom garantált.
Ha érdekli az ingatlan várom hívását."|https://ingatlan.com/34583694|230 m2||||||||||||||||||||0.0|0.0|3.5|0.0|0.0|0.0|0.0|0.0|0|0|1|0|0|0|0|0|3.5|0.0|3.5|Prémium villa negyed|1.3
12|Törökbálint, Tükörhegy||259 M Ft||130 m2|1 992 307 Ft / m2||2025||új építésű|hőszivattyú, mennyezeti hűtés-fűtés||udvari beálló - benne van az árban|ingatlaniroda|15|"Exkluzív PANORÁMÁS Ikerház AAA besorolású mennyezet hűtés-fűtéssel, 16 KW Bosch hőszivattyúval kerül megépítésre.

Dubaji multimilliárdos Al-Habtoor Group fejlesztés a Tükörhegy Residence közvetlen szomszédságában!
Óvoda, 12 osztályos nemzetközi iskola, kollégium, sportpályák, lovaspóló pálya hozzá tartozó istállókkal,
magánrezidencia, magánkórház, üzletek, közpark.

Ezen ingatlan saját mérőórákkal rendelkezik, amihez további H tarifás EON kedvezményes áramvételi lehetőséget biztosítunk, napelem előkészítéssel, mely vételár részét képezi.

Az Ikerház privát útszakaszról közelíthető meg, ami a Prima üzletház felső során található üzleteihez vezet, annak folytatása.
A 4 db ikerház és az 1 db családi ház saját bejáratokkal érhető el, közvetlenül az utcáról, így különálló telkekként funkcionál..."|https://ingatlan.com/34773185|428 m2|A++|||||||||||||||||||9.0|0.0|0.0|3.8|0.0|6.4|0.0|0.0|1|0|0|1|0|1|0|0|19.2|0.0|19.2|Jó lakónegyed|1.15
13|Törökbálint, Tükörhegy||319 M Ft||175 m2|1 822 857 Ft / m2||2025||új építésű|hőszivattyú, mennyezeti hűtés-fűtés||önálló garázs - benne van az árban|ingatlaniroda|20|"Exkluzív PANORÁMÁS Ikerház AAA besorolású mennyezet hűtés-fűtéssel, 16 KW Bosch hőszivattyúval kerül megépítésre.

Dubaji multimilliárdos Al-Habtoor Group fejlesztés a Tükörhegy Residence közvetlen szomszédságában!
Óvoda, 12 osztályos nemzetközi iskola, kollégium, sportpályák, lovaspóló pálya hozzá tartozó istállókkal,
magánrezidencia, magánkórház, üzletek, közpark.

Ezen ingatlan saját mérőórákkal rendelkezik, amihez további H tarifás EON kedvezményes áramvételi lehetőséget biztosítunk, napelem előkészítéssel, mely vételár részét képezi.

Az Ikerház privát útszakaszról közelíthető meg, ami a Prima üzletház felső során található üzleteihez vezet, annak folytatása.
A 4 db ikerház és az 1 db családi ház saját bejáratokkal érhető el, közvetlenül az utcáról, így különálló telkekként funkcionál..."|https://ingatlan.com/33927628|492 m2|A++|||||||||||||||||||9.0|0.0|0.0|3.8|0.0|6.4|0.0|0.0|1|0|0|1|0|1|0|0|19.2|0.0|19.2|Jó lakónegyed|1.15
14|Törökbálint, Tükörhegy||310 M Ft||169 m2|1 834 319 Ft / m2||2025||új építésű|hőszivattyú, mennyezeti hűtés-fűtés||önálló garázs - benne van az árban|ingatlaniroda|18|"Exkluzív PANORÁMÁS Ikerház AAA besorolású mennyezet hűtés-fűtéssel, 16 KW Bosch hőszivattyúval kerül megépítésre.

Dubaji multimilliárdos Al-Habtoor Group fejlesztés a Tükörhegy Residence közvetlen szomszédságában!
Óvoda, 12 osztályos nemzetközi iskola, kollégium, sportpályák, lovaspóló pálya hozzá tartozó istállókkal,
magánrezidencia, magánkórház, üzletek, közpark.

Ezen ingatlan saját mérőórákkal rendelkezik, amihez további H tarifás EON kedvezményes áramvételi lehetőséget biztosítunk, napelem előkészítéssel, mely vételár részét képezi.

Az Ikerház privát útszakaszról közelíthető meg, ami a Prima üzletház felső során található üzleteihez vezet, annak folytatása.
A 4 db ikerház és az 1 db családi ház saját bejáratokkal érhető el, közvetlenül az utcáról, így különálló telkekként funkcionál..."|https://ingatlan.com/34018217|448 m2|A++|||||||||||||||||||9.0|0.0|0.0|3.8|0.0|6.4|0.0|0.0|1|0|0|1|0|1|0|0|19.2|0.0|19.2|Jó lakónegyed|1.15
15|Törökbálint, Tükörhegy||179 M Ft||110 m2|1 627 272 Ft / m2||1981 és 2000 között||jó állapotú|gázkazán, padlófűtés||udvari beálló - benne van az árban|ingatlaniroda|8|"Csendes otthon a törökbálinti Tükörhegyen

Fiatal felnőttek, gyerekes családoknak , de szépkorúaknak is kiváló ajánlat Törökbálint Rózsadombján, a Tükörhegyen található könnyűszerkezetes családi ház.
A környék csendes és biztonságos, a közvetlen lakókörnyezet nagyon családias és a nagy kert kiválóan alkalmas a pihenésre.
A 103 nm-es lakóterület és a 903 nm-es kert minden körülményt biztosít a nyugalmas, családias otthon megteremtéséhez A házban két hálószoba, két fürdőszoba és egy amerikai konyhás nappali található.
A ház egy szintes és szinte akadálymentes.
A világos, tágas helyiségek és a 12 nm-es terasz tökéletes helyszínt nyújtanak a baráti összejövetelekhez vagy a pihenéshez a szabadban. A rendezett kertben pedig könnyedén kialakíthatod saját zöld oázisodat, ahol a természet közelsége..."|https://ingatlan.com/34593231|963 m2||||||||||||||||||||0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0|0|0|0|0|0|0|0|0.0|0.0|0.0|Prémium villa negyed|1.3
16|Törökbálint, Tükörhegy||177 M Ft||185 m2|956 756 Ft / m2||2001 és 2010 között||felújított|gázkazán, hűtő-fűtő klíma||udvari beálló|ingatlaniroda|3|"Törökbálint-Tükörhegyen nagy terekkel rendelkező szélső sorház eladó
Szuper ár-érték arány!
Tükörhegy egyik központi, mégis csendes, nyugodt utcájában lévő felújított, napelemmel is felszerelt szélső sorház eladó!
A 185m2 + 24 m2 terasszal rendelkező, nappali + 4 szobás ingatlan további 2 szoba kialakítására is alkalmas, nagy terekkel, teljes belmagassággal rendelkezik minden szinten.
A 6 kw napelem szaldós elszámolással működik, ezzel teljes mértékben megtermeli a ház teljes üzemeltetéséhez szükséges energiát! Ezáltal a rezsi szinte 0, minimális mértékű.
A házhoz 318 m2 telek, 1 kocsibeálló (bővíthető) tartozik, a terasz DNY-i tájolású, gyönyörű napfényes, világos.
Amennyiben egy igazán élhető, szinte 0 rezsijű, kényelmes otthont keres Tükörhegyen, várom hívását!"|https://ingatlan.com/34788916|318 m2||||||||||||||||||||9.0|0.0|0.0|0.0|0.0|0.0|0.0|-2.0|1|0|0|0|0|0|0|1|9.0|2.0|7.0|Prémium villa negyed|1.3
17|Törökbálint, Tükörhegy||950 M Ft||475 m2|2 000 000 Ft / m2||2022||újszerű|hőszivattyú||önálló garázs - benne van az árban|ingatlaniroda|19|"Luxus otthon kompromisszumok nélkül – prémium minőség, okos megoldások, tökéletes családi élettér
Ez a kivételes ingatlan közel 370 nm lakótérrel rendelkezik, átgondolt belső kialakítása pedig maximális kényelmet biztosít minden korosztály számára. Az ingatlan három szinten kínál tökéletes életteret a család minden tagjának.

Lakótér beosztása:

Emelet

3 tágas hálószoba, mindegyik saját, elegáns fürdőszobával
Kényelmes társalgó rész, ideális pihenéshez vagy családi együttlétekhez
Földszint

1 különálló hálószoba saját fürdővel – ideális vendégek számára
Vendégmosdó, gardrób, dolgozószoba/lounge
Tágas nappali, étkező, modern konyha
Gyermek játszószoba
Wellness rész saját zuhanyzóval és WC-vel
Pince

Kétállásos zárt garázs elektromosautó-töltővel
Gépészeti helyiség, mosókonyha, gardrób
Tera..."|https://ingatlan.com/34799179|475 m2||||||||||||||||||||0.0|0.0|0.0|7.6|0.0|0.0|0.0|0.0|0|0|0|1|0|0|0|0|7.6|0.0|7.6|Prémium villa negyed|1.3
18|Törökbálint, Tükörhegy||213 M Ft||172 m2|1 238 372 Ft / m2||2001 és 2010 között||újszerű|gázkazán, padlófűtés||önálló garázs - benne van az árban|ingatlaniroda|23|"Törökbálint elegáns, kertvárosi részén Tükörhegyen, úszómedencés ház eladó!

Sorház szélső ingatlanaként, gyönyörűen ápolt, örökzöldekkel teli kert veszi körbe.
A ház - 172 nm + 20 nm tetőtér - 2001-ben épült téglából, szigetelt, három szintes, a tetőtér beépített.

Az alsó szinten található az amerikai konyhás, étkezős nappali, ami a közvetlen kertkapcsolat és a térrendezés hatására nagyon hangulatos.
Az étkezőből kiléphetünk a teraszra és a kertbe. Nemcsak a kert növényei szépek, de a kerítésen túli növények is látványos, zöld felületet képeznek.
Az alsó szinten találjuk még a zuhanyzót, a toalettet, gardrób/kamrát és a garázst.
Az emeleten három napfényes hálószoba, fürdőszoba és gardrób van, az egyik hálószobából egy erkély is nyílik.
A második szint a tetőtér, ami egy légtér, így nagy..."|https://ingatlan.com/34871607|405 m2||||||||||||||||||||0.0|0.0|0.0|3.8|0.0|0.0|0.0|0.0|0|0|0|1|0|0|0|0|3.8|0.0|3.8|Általános terület|1.0
19|Törökbálint, Tükörhegy||345 M Ft||318 m2|1 084 905 Ft / m2|8 + 1 fél|2018||felújított|gázkazán, padlófűtés, infrafűtés||udvari beálló - benne van az árban|ingatlaniroda|15|"3 LAKÁSOS HÁZ A TÖRÖKBÁLINTI TÜKÖRHEGYEN!

Kiváló lokációval, 3 lakásos családi ház keresi új gazdáját!

A ház 1980- ban épült, időközben felújításon esett át.
•Alapterület: 318 négyzetméter
•Lakások száma: 3 összkomfortos lakás
•Telek mérete: 528 négyzetméter, két utcáról megközelíthető
•Parkolási lehetőség: Az udvaron akár 4 autó is elfér
•Kert: Gondozott , ideális pihenésre és kikapcsolódásra

Az ingatlan 3 külön bejáratú lakásból áll.
1 LAKÁS FÖLDSZINT -85,8 M2
2 LAKÁS FÖLDSZINT - 73,38 M2
3 LAKÁS EMELET - 159,3 M2

A kisebb lakással egy szinten található egy nagy garázs elektromos billenőkapuval és egy mosókonyha.
A felső lakás felett szigetelt padlás van.

A házközponti fűtésről, és meleg vízről kombicirkó kazán, és egy 150 l-es indirekt tároló gondoskodik.
2020-ban kerültek beépítés..."|https://ingatlan.com/34619035|318 m2|B|||||||||||||||||||0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0|0|0|0|0|0|0|0|0.0|0.0|0.0|Központi terület|1.0
20|Törökbálint, Tükörhegy||229 M Ft||162 m2|1 413 580 Ft / m2||2001 és 2010 között||jó állapotú|gázkazán, padlófűtés||önálló garázs - benne van az árban|ingatlaniroda|26|"Törökbálint egyik legkedveltebb részén, Tükörhegyen, cssendes zsákutcában, csodálatos természeti környezetben, eladó egy háromszintes, jó elosztású, 162 m2-es három szintes sorház, 562 m2-es telken.
A ház 2003-ban épült, igényesen karbantartott, zsindely fedéssel, amely jelenleg is kiváló állapotban van.

Az ingatlan belső terei átgondoltan lettek kialakítva.
Alsó szint: garázs, tároló, közlekedő, előszoba, mosdó. A garázs - igény szerint - akár külön lakrésszé is alakítható.
Földszint: konyha-étkező, kamra, nappali, közlekedő, káddal felszerelt fürdőszoba. A nappali terasz- és kertkapcsolattal rendelkezik, így könnyedén élvezhetjük a friss levegőt a házból kilépve. A konyhában modern főző- és sütőeszközök vannak beépítve.
Tetőtér: 3 hálószoba, zuhannyal ellátott fürdőszoba, közlekedő.
Val..."|https://ingatlan.com/34711085|562 m2||||||||||||||||||||0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0|0|0|0|0|0|0|0|0.0|0.0|0.0|Prémium villa negyed|1.3
21|Törökbálint, Tükörhegy||179 M Ft||103 m2|1 737 864 Ft / m2||1981 és 2000 között||jó állapotú|gázkazán|||ingatlaniroda|8|"Fiatal felnőttek, gyerekes családoknak , de szépkorúaknak is kiváló ajánlat Törökbálint Rózsadombján, a Tükörhegyen található családi ház.
A környék csendes és biztonságos, a közvetlen lakókörnyezet nagyon családias és a nagy kert kiválóan alkalmas a pihenésre.
A 103 nm-es lakóterület és a 903 nm-es kert minden körülményt biztosít a nyugalmas, családias otthon megteremtéséhez A házban két hálószoba, két fürdőszoba és egy amerikai konyhás nappali található.
A ház egy szintes és szinte akadálymentes.
A világos, tágas helyiségek és a 12 nm-es terasz tökéletes helyszínt nyújtanak a baráti összejövetelekhez vagy a pihenéshez a szabadban. A rendezett kertben pedig könnyedén kialakíthatod saját zöld oázisodat, ahol a természet közelsége igazán felfrissít.
Törökbálint tömegközlekedése közismerten ..."|https://ingatlan.com/34598353|903 m2||||||||||||||||||||0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0|0|0|0|0|0|0|0|0.0|0.0|0.0|Prémium villa negyed|1.3
22|Törökbálint, Tükörhegy||295 M Ft||320 m2|921 875 Ft / m2||1981 és 2000 között||jó állapotú|gázkazán|||ingatlaniroda|23|"Eladó egy önálló családi ház Törökbálint Tükörhegy első ütemében, kertre néző kilátással.
Ez a medencével felszerelt otthon nagy telekkel rendelkezik, több autó számára biztosítva a kertben történő parkolást.
Az ingatlan nem csupán elhelyezkedése, de mérete és kialakítása révén is egyedülálló lehetőség.

Az ingatlan különlegességét tovább növeli a kertben elhelyezkedő medence, amely ideális helyszínt nyújt a pihenésre és a családi, illetve baráti összejövetelekre.

Tágas, világos terek jellemzik, gondos kivitelezés minden részletében érződik.
A ház több kocsi számára is kényelmes parkolási lehetőséget biztosít a kertben, így vendégek fogadása is gond nélkül megoldható.Törökbálint kedvelt részén, a Tükörhegyen található ingatlan nem csak a természet közelségét, de a város nyújtotta kényelme..."|https://ingatlan.com/34908996|320 m2|E|||||||||||||||||||0.0|0.0|0.0|0.0|2.8|0.0|0.0|0.0|0|0|0|0|1|0|0|0|2.8|0.0|2.8|Prémium villa negyed|1.3
